Name,Value
Luka Hyryläinen,€400k  
Dejan Galjen,€350k  
Frederik Schmahl,€300k  
Niklas Kolbe,€250k  
Danny Schmidt,€250k  
Filimon Gerezgiher,€200k  
Aki Koch,€100k  
Stefano Marino,€150k  
Neal Gibs,€100k  
Angelos Stavridis,€75k  
Josh Knight,€1.30m  
Jan Reichert,€400k  
Julian Kania,€400k  
Daniel Pantschenko,€75k  
Tom Sanne,€300k  
Max Marie,€200k  
Husseyn Chakroun,€200k  
Tjark Scheller,€200k  
Eric Uhlmann,€175k  
Hayate Matsuda,€175k  
Marvin Benjamins,€50k  
Justin Heekeren,€300k  
Jaka Cuber-Potocnik,€400k  
Medin Kojic,€250k  
Lukas Frenkert,€175k  
Meiko Wäschenbach,€150k  
Pierre Nadjombe,€150k  
Marco Pledl,€150k  
Niklas Castelle,€150k  
Matti Wagner,€75k  
Luca Sirch,€250k  
Noel Eichinger,€125k  
Ensar Aksakal,€75k  
Felipe Sánchez,€800k  
Maurice Krattenmacher,€2.00m  
Mika Baur,€1.80m  
Aaron Keller,€800k  
Dominik Kother,€750k  
Luca Marseiler,€750k  
Caspar Jander,€750k  
Christian Viet,€700k  
Felix Gebhardt,€700k  
Malik Batmaz,€700k  
Joel Grodowski,€700k  
Jannik Mause,€700k  
Marvin Obuz,€600k  
Felix Götze,€600k  
Luca Bazzoli,€500k  
Louis Breunig,€500k  
Max Brandt,€500k  
Paul Will,€500k  
Fynn Lakenmacher,€450k  
Rasim Bulic,€450k  
Tom Gaal,€450k  
Niko Koulis,€450k  
Noah Ganaus,€400k  
Philipp Maier,€400k  
Mansour Ouro-Tagba,€400k  
Santiago Castañeda,€400k  
Benedikt Saller,€400k  
Ahmet Arslan,€400k  
Luca Herrmann,€400k  
Julian Eitschberger,€400k  
Philipp Strompf,€350k  
Niklas Kölle,€350k  
Andreas Geipl,€350k  
Falko Michel,€350k  
Monju Momuluh,€350k  
Sebastian Mrowca,€350k  
Niclas Nadj,€300k  
Bastian Allgeier,€300k  
Kevin Ehlers,€300k  
Dennis Chessa,€300k  
Oscar Schönfelder,€300k  
Christian Ortag,€300k  
Manuel Wintzheimer,€300k  
Johannes Schenk,€300k  
Felix Higl,€300k  
Torge Paetow,€300k  
Romario Rösch,€300k  
Florian Ballas,€300k  
Nico Ochojski,€275k  
Jonathan Meier,€275k  
Jano ter Horst,€275k  
Robin Ziegele,€275k  
Elias Huth,€275k  
Luca Bolay,€250k  
Yassine Bouchama,€250k  
Daniel Kyerewaa,€250k  
Lennart Stoll,€250k  
Lamar Yarbrough,€250k  
Benedikt Bauer,€250k  
Rico Preißinger,€250k  
Dominik Schad,€250k  
Thorben Deters,€250k  
Simon Scherder,€250k  
Abu-Bekir Ömer El-Zein,€250k  
Thomas Kok,€250k  
Lukas Ahrend,€225k  
Johannes Reichert,€225k  
Lucas Röser,€200k  
Niclas Anspach,€200k  
Tobias Eisenhuth,€200k  
Jonas Bauer,€200k  
Bryan Hein,€200k  
Ogechika Heil,€200k  
Alexander Bittroff,€175k  
Daouda Beleme,€175k  
Marc Lorenz,€175k  
Eric Hottmann,€175k  
Sascha Risch,€150k  
Thomas Geyer,€150k  
Andreas Ludwig,€125k  
Alexander Weidinger,€125k  
Julian Kudala,€125k  
Max Meyer,€100k  
Marian Kirsch,€75k  
Leon Cuk,€75k  
Leopold Wurm,€75k  
Christian Schmidt,€50k  
Kelvin Onuigwe,€50k  
Marvin Seybold,€25k  
Moussa Sylla,€2.50m  
Sven Köhler,€700k  
Lubambo Musonda,€500k  
Martijn Kaars,€650k  
Maximilian Schmid,€500k  
Kaan Caliskaner,€500k  
Kelian Nsona,€400k  
Michal Kukucka,€250k  
Fabian Reese,€5.00m  
Nicolò Tresoldi,€5.00m  
Pascal Klemens,€5.00m  
Ibrahim Maza,€5.00m  
Finn Jeltsch,€5.00m  
Ludovit Reis,€4.50m  
Yannik Engelhardt,€4.00m  
Ao Tanaka,€4.00m  
Jonas Urbig,€4.00m  
Ísak Jóhannesson,€3.50m  
Robert Glatzel,€3.00m  
Michal Karbownik,€3.00m  
Jens Castrop,€3.00m  
Ragnar Ache,€3.00m  
Shinta Appelkamp,€3.00m  
Jamil Siebert,€3.00m  
Immanuel Pherai,€2.80m  
Haris Tabakovic,€2.50m  
Tjark Ernst,€2.50m  
Maximilian Dietz,€2.50m  
Tim Lemperle,€2.50m  
Phil Neumann,€2.50m  
Bright Arrey-Mbi,€2.50m  
Márton Dárdai,€2.50m  
Jonjoe Kenny,€2.50m  
Marcel Halstenberg,€2.00m  
Enzo Leopold,€2.00m  
Jean-Luc Dompé,€2.00m  
Marten Winkler,€2.00m  
Miro Muheim,€2.00m  
Linus Gechter,€1.80m  
Kenan Karaman,€1.80m  
Simon Asta,€1.80m  
Mattes Hansen,€1.80m  
Derry Murkin,€1.80m  
Michaël Cuisance,€1.80m  
Semih Sahin,€1.80m  
Boris Tomiak,€1.80m  
Ron Schallenberg,€1.70m  
Ransford Königsdörffer,€1.70m  
Dennis Hadzikadunic,€1.70m  
Rayan Philippe,€1.70m  
Raphael Obermair,€1.50m  
Florian Flick,€1.50m  
Marcel Hoffmeier,€1.50m  
Ilyas Ansah,€1.50m  
Marc Oliver Kempf,€1.50m  
Jannes Horn,€1.50m  
Paul Seguin,€1.50m  
Fabian Kunze,€1.50m  
Jannik Rochelt,€1.50m  
Aaron Zehnter,€1.50m  
Jordy de Wijs,€1.50m  
Florian Kastenmeier,€1.50m  
Luca Itter,€1.50m  
Sebastian Schonlau,€1.50m  
Branimir Hrgota,€1.30m  
Bakery Jatta,€1.30m  
Julian Green,€1.30m  
Lukasz Poreba,€1.20m  
Marcus Mathisen,€1.20m  
Silas Gnaka,€1.20m  
Hyun-ju Lee,€1.20m  
Filip Kaloc,€1.20m  
Filip Bilbija,€1.20m  
David Herold,€1.20m  
Emmanuel Iyoha,€1.20m  
Robin Heußer,€1.20m  
