Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Harry Kane,"Bayern, ",30,",  AM(C),FW  ",32,2844	,8	,1	,19.4	,73.6	,0.3	,1.6	,0.3	,7.82
Serhou Guirassy,"Stuttgart, ",28,",  AM(L),FW  ",25(3),2214	,2	,1.9	,27.5	,81.4	,-	,0.4	,0.3	,7.73
Leroy Sané,"Bayern, ",28,",  M(CLR),FW  ",25(2),2142	,11	,2.7	,36.9	,84.4	,1	,0.8	,0.1	,7.68
Jamal Musiala,"Bayern, ",21,",  M(CLR)  ",20(4),1767	,6	,1.8	,31.1	,81.9	,-	,0.2	,0.3	,7.65
Álex Grimaldo,"Leverkusen, ",28,",  D(L),M(L)  ",31(2),2787	,13	,2.4	,52.9	,87.2	,1.7	,1	,0.1	,7.58
Xavi Simons,"RBL, ",21,",  AM(CLR),FW  ",32,2675	,11	,2.5	,41.8	,82	,0.9	,1.6	,0.3	,7.58
Florian Wirtz,"Leverkusen, ",21,",  AM(CL),FW  ",26(6),2384	,11	,2.3	,55.3	,84.6	,0.3	,0.9	,0.2	,7.50
Victor Boniface,"Leverkusen, ",23,",  FW  ",18(5),1554	,8	,1	,16.3	,73	,-	,0.4	,0.1	,7.49
Deniz Undav,"Stuttgart, ",27,",  AM(C),FW  ",23(7),2100	,9	,1.3	,25.7	,75.4	,0.1	,0.6	,0.4	,7.45
Exequiel Palacios,"Leverkusen, ",25,",  M(C)  ",21(3),1841	,5	,1.2	,83.4	,92.1	,0.1	,2.3	,0.2	,7.32
Jan-Niklas Beste,"FC Heidenheim, ",25,",  D(L),M(CLR)  ",31,2625	,11	,2.3	,20.4	,67.2	,2.8	,0.9	,-	,7.32
Loïs Openda,"RBL, ",24,",  FW  ",33(1),2716	,7	,1	,14.1	,69.2	,0.2	,0.2	,0.1	,7.32
Maximilian Mittelstädt,"Stuttgart, ",27,",  D(L),M(CL)  ",23(8),2106	,4	,1	,46.6	,87.7	,1.1	,1.4	,0.1	,7.28
David Raum,"RBL, ",26,",  D(L),M(LR)  ",31,2745	,8	,2.2	,50.4	,80.6	,2.6	,2.2	,-	,7.20
Kevin Stöger,"Bochum, ",30,",  M(CL)  ",32,2679	,9	,4	,53.6	,71.8	,2.9	,3	,0.3	,7.19
Dani Olmo,"RBL, ",26,",  AM(CLR),FW  ",17(4),1455	,5	,1.5	,29.9	,79.6	,0.4	,1.7	,0.2	,7.17
Andrej Kramaric,"Hoffenheim, ",33,",  AM(CLR),FW  ",25(5),2207	,6	,2.6	,33.4	,84.2	,1.4	,0.9	,0.2	,7.17
Chris Führich,"Stuttgart, ",26,",  M(CLR),FW  ",33(1),2595	,7	,1.6	,36	,86	,0.7	,0.7	,0.1	,7.15
Alphonso Davies,"Bayern, ",23,",  D(L),M(LR)  ",24(5),2067	,5	,1.3	,50	,88.9	,0.3	,0.2	,-	,7.13
Granit Xhaka,"Leverkusen, ",31,",  D(L),M(C)  ",32(1),2828	,-	,1.2	,98.8	,92.1	,-	,4.1	,0.2	,7.13
Joshua Kimmich,"Bayern, ",29,",  D(CR),DMC,M(R)  ",27(1),2186	,6	,2.6	,70.9	,91.3	,2.3	,3.2	,0.1	,7.13
Omar Marmoush,"Eintracht Frankfurt, ",25,",  AM(CL),FW  ",27(2),2311	,6	,1.4	,18.4	,73.4	,0.4	,0.6	,0.1	,7.11
Jonas Hofmann,"Leverkusen, ",31,",  D(R),M(CLR),FW  ",26(6),2215	,7	,2.5	,42.7	,84.5	,0.9	,1.7	,0.1	,7.11
Donyell Malen,"Borussia Dortmund, ",25,",  AM(LR),FW  ",21(6),1786	,1	,0.8	,18.3	,79.6	,0.3	,0.3	,0.1	,7.10
Leon Goretzka,"Bayern, ",29,",  M(CR)  ",25(5),2243	,7	,1.1	,57.7	,89.4	,0.1	,2.1	,0.2	,7.08
Jeremie Frimpong,"Leverkusen, ",23,",  D(R),M(R)  ",27(4),2265	,7	,1.5	,26.7	,81.3	,0.9	,0.3	,0.1	,7.08
Tim Kleindienst,"FC Heidenheim, ",28,",  FW  ",33,2877	,3	,0.8	,25.5	,59.9	,0.1	,0.5	,-	,7.06
Amadou Haidara,"RBL, ",26,",  M(CLR)  ",19(2),1537	,1	,0.8	,39	,84.5	,-	,1.5	,0.1	,7.06
Anton Stach,"Hoffenheim, ",25,",  M(C)  ",26(5),2326	,3	,0.6	,40.4	,81.5	,0.4	,1.9	,-	,7.05
Angelo Stiller,"Stuttgart, ",23,",  DMC  ",30(1),2697	,5	,1.7	,82.2	,90.9	,0.7	,2.5	,0.2	,7.04
Sepp van den Berg,"Mainz, ",22,",  D(CR),M(R)  ",31(2),2839	,-	,0.2	,44.3	,81.3	,-	,1.8	,-	,7.04
Julian Brandt,"Borussia Dortmund, ",28,",  M(CLR),FW  ",26(6),2232	,11	,2.5	,35.5	,87.2	,1.5	,1.6	,0.1	,7.03
Kim Min-Jae,"Bayern, ",27,",  D(C)  ",22(3),1971	,1	,0.3	,85.2	,93	,-	,2.2	,0.1	,7.03
Mitchell Weiser,"Werder Bremen, ",30,",  D(R),M(R)  ",30,2639	,7	,1.2	,37.8	,75.5	,0.9	,1.6	,-	,7.01
Franck Honorat,"Borussia M.Gladbach, ",27,",  M(LR),FW  ",28(4),2359	,9	,2.8	,28.7	,74.4	,2.7	,0.6	,-	,7.00
Patrick Mainka,"FC Heidenheim, ",29,",  D(C)  ",34,3060	,-	,0.1	,45.5	,83	,-	,2.5	,-	,7.00
Nico Schlotterbeck,"Borussia Dortmund, ",24,",  D(C)  ",32(1),2861	,1	,0.5	,80.5	,89.2	,-	,5.7	,0.1	,6.99
Jonas Wind,"Wolfsburg, ",25,",  AM(C),FW  ",31(3),2662	,7	,1.1	,19.4	,71.3	,0.1	,0.5	,0.2	,6.98
Benjamin Henrichs,"RBL, ",27,",  D(LR),DMC,M(LR)  ",28(5),2532	,5	,1.2	,41.5	,79.5	,0.6	,1.8	,0.2	,6.98
