Name,Value
Eiran Cashin,€1.80m  
Louie Sibley,€1.60m  
Jordan Williams,€1.00m  
Ryan Nyambe,€1.00m  
Callum Lang,€900k  
Tom McIntyre,€800k  
Paddy Lane,€700k  
Colby Bishop,€700k  
Curtis Nelson,€700k  
Mark Harris,€700k  
Ciaron Brown,€600k  
Callum Elder,€600k  
Regan Poole,€500k  
Tyrese Fornah,€500k  
Josh Murphy,€500k  
Elliott Moore,€500k  
Joe Wildsmith,€500k  
Corey Blackett-Taylor,€500k  
Kane Wilson,€500k  
Ryley Towler,€500k  
Cameron Brannagan,€500k  
Tyler Goodrham,€500k  
Tom Barkhuizen,€450k  
Owen Dale,€450k  
Gavin Whyte,€450k  
Jack Sparkes,€400k  
Nathaniel Méndez-Laing,€400k  
Will Norris,€400k  
Rúben Rodrigues,€400k  
Conor Shaughnessy,€400k  
Marcus McGuane,€375k  
Joe Morrell,€375k  
Kusini Yengi,€375k  
Liam Thompson,€325k  
Will Goodwin,€325k  
Sam Long,€300k  
Christian Saydee,€300k  
Joe Ward,€300k  
Liam Morrison,€300k  
Marlon Pack,€300k  
Greg Leigh,€275k  
Jordan Thorniley,€275k  
Sonny Bradley,€275k  
Connor Ogilvie,€275k  
Josh Vickers,€250k  
Terry Devlin,€250k  
Josh McEachran,€225k  
Kyle Edwards,€200k  
Conor Washington,€200k  
Anthony Scully,€200k  
Ben Stevenson,€200k  
Zak Swanson,€200k  
Jake Rooney,€175k  
James Collins,€175k  
Tom Lowery,€150k  
Gatlin O'Donkor,€125k  
Craig Forsyth,€100k  
Joe Bennett,€100k  
Darren Robinson,€100k  
Simon Eastwood,€75k  
James Golding,€50k  
Joshua Johnson,€50k  
Toby Steward,€50k  
Macaulay Langstaff,€700k  
Jack Currie,€375k  
Alex Cairns,€175k  
Olaf Kobacki,€550k  
Aribim Pepple,€100k  
Joel Bagan,€350k  
Óscar Estupiñán,€4.00m  
Aidan Morris,€3.00m  
Torbjørn Heggem,€500k  
Yu Hirakawa,€900k  
Yan Valery,€2.00m  
Stefán Teitur Thórdarson,€1.80m  
CJ Egan-Riley,€1.50m  
Hevertton,€700k  
Jason Lokilo,€700k  
Darko Churlinov,€1.50m  
Svante Ingelsson,€900k  
Muhamed Tijani,€800k  
Rasmus Kristensen,€10.00m  
Paul Nardi,€2.50m  
Eric Junior Bocat,€2.20m  
Isaak Davies,€1.50m  
Ryotaro Tsunoda,€550k  
Imrân Louza,€7.00m  
Bénie Traoré,€4.00m  
Ibrahim Cissoko,€1.50m  
Moussa Sissoko,€1.20m  
José Córdoba,€3.50m  
Shurandy Sambo,€2.00m  
Kenzo Goudmijn,€1.80m  
Nathan Tjoe-A-On,€350k  
Doğukan Sinik,€2.00m  
Samuel Bastien,€1.10m  
Samuel Kalu,€2.00m  
Adam Idah,€3.50m  
Jewison Bennette,€900k  
Eliezer Mayenda,€700k  
Jack Vale,€500k  
Dara Costelloe,€325k  
Nectarios Triantis,€300k  
Eli King,€300k  
Ryan Howley,€100k  
Rocco Vata,€50k  
Brenden Aaronson,€12.00m  
Maximilian Wöber,€10.00m  
Wout Weghorst,€6.00m  
Raphael Borges Rodrigues,€400k  
Daniel Bennie,€250k  
Sander Berge,€20.00m  
James Trafford,€18.00m  
Anel Ahmedhodzic,€18.00m  
Josh Brownhill,€15.00m  
Aaron Ramsey,€15.00m  
Gustavo Hamer,€15.00m  
Carlton Morris,€13.00m  
Lyle Foster,€13.00m  
Jordan Beyer,€13.00m  
Cameron Archer,€13.00m  
Teden Mengi,€12.00m  
Zeki Amdouni,€12.00m  
Vinicius Souza,€12.00m  
Elijah Adebayo,€12.00m  
Josh Cullen,€10.00m  
Alfie Doughty,€10.00m  
Wilson Odobert,€10.00m  
Chiedozie Ogbene,€8.00m  
Luca Koleosho,€7.00m  
Maxime Estève,€7.00m  
Dara O'Shea,€7.00m  
Auston Trusty,€7.00m  
Hjalmar Ekdal,€7.00m  
Arijanet Muric,€7.00m  
Tahith Chong,€6.00m  
Tom Davies,€5.00m  
Nathan Redmond,€5.00m  
Marvelous Nakamba,€5.00m  
Benson Manuel,€5.00m  
Vitinho,€5.00m  
Hannes Delcroix,€4.00m  
Han-Noah Massengo,€4.00m  
Jacob Brown,€4.00m  
Jayden Bogle,€3.80m  
Ivo Grbic,€3.50m  
Gabriel Osho,€3.00m  
William Osula,€3.00m  
Rhian Brewster,€3.00m  
Thomas Kaminski,€3.00m  
Mads Andersen,€3.00m  
Anis Slimane,€2.50m  
Andre Brooks,€2.50m  
Amari'i Bell,€2.50m  
Max Lowe,€2.50m  
Shandon Baptiste,€2.50m  
Rhys Norrington-Davies,€2.50m  
Tom Lockyer,€2.50m  
Daiki Hashioka,€2.00m  
Andros Townsend,€1.80m  
Reece Burke,€1.80m  
Pelly Ruddock Mpanzu,€1.50m  
Jack Robinson,€1.00m  
Jay Rodríguez,€1.00m  
Ben Osborn,€1.00m  
Cauley Woodrow,€1.00m  
Jóhann Gudmundsson,€1.00m  
Jordan Clark,€1.00m  
Adam Davies,€500k  
Tim Krul,€500k  
Oliver Arblaster,€450k  
Lawrence Vigouroux,€300k  
James Shea,€200k  
Crysencio Summerville,€20.00m  
Gabriel Sara,€18.00m  
Georginio Rutter,€18.00m  
Illan Meslier,€18.00m  
Wilfried Gnonto,€16.00m  
Ethan Ampadu,€16.00m  
Jaden Philogene,€15.00m  
Jacob Greaves,€15.00m  
Pascal Struijk,€15.00m  
Jack Clarke,€15.00m  
Daniel James,€14.00m  
Josh Sargent,€14.00m  
Joël Piroe,€14.00m  
Jobe Bellingham,€12.00m  
Morgan Whittaker,€12.00m  
Anthony Patterson,€12.00m  
Yáser Asprilla,€9.00m  
Ben Cabango,€9.00m  
Jonathan Rowe,€9.00m  
Anass Zaroury,€9.00m  
Joe Rodon,€8.00m  
Josh Eccles,€7.00m  
Abdülkadir Ömür,€7.00m  
Matt Grimes,€7.00m  
Hayden Hackney,€7.00m  
Ben Sheaf,€7.00m  
Milan van Ewijk,€7.00m  
Ilias Chair,€7.00m  
Haji Wright,€7.00m  
Sammie Szmodics,€7.00m  
Trai Hume,€7.00m  
Glen Kamara,€6.00m  
Tyrhys Dolan,€5.00m  
James Beadle,€5.00m  
Finn Azaz,€5.00m  
Junior Firpo,€5.00m  
Jason Knight,€5.00m  
Ilia Gruev,€5.00m  
Dan Neil,€5.00m  
Marcelino Núñez,€5.00m  
Ben Wilmot,€4.80m  
Jack Rudoni,€4.80m  
Dael Fry,€4.80m  
Ryan Giles,€4.50m  
Sam Greenwood,€4.50m  
Wouter Burger,€4.50m  
Emmanuel Latte Lath,€4.20m  
Zian Flemming,€4.20m  
Harry Pickering,€4.20m  
Daniel Ballard,€4.00m  
Grady Diangana,€4.00m  
Joe Gelhardt,€4.00m  
Abdoullah Ba,€4.00m  
Alfie Jones,€4.00m  
Patrick Bamford,€4.00m  
Rav van den Berg,€4.00m  
Isaiah Jones,€4.00m  
Tommy Conway,€4.00m  
Karlan Grant,€3.80m  
Luke McNally,€3.80m  
Perry Ng,€3.80m  
Jordan Storey,€3.80m  
David Turnbull,€3.80m  
