Name,Value
Jafar Bynoe,€75k  
Àlex Carbonell,€600k  
Álex Balboa,€200k  
Darío Serra,€100k  
Teo Quintero,€600k  
Dean Huiberts,€500k  
Mickaël Tirpan,€500k  
Alonzo Engwanda,€400k  
Emilio Kehrer,€400k  
Lorenzo Milani,€300k  
Ivan Mesik,€200k  
Antonio Satriano,€225k  
Chris-Kévin Nadje,€700k  
Makan Aïko,€300k  
Jeyland Mitchell,€175k  
Julián Carranza,€6.00m  
Ezequiel Bullaude,€2.20m  
Seiya Maikuma,€1.50m  
Danilo Al-Saed,€1.50m  
Brynjólfur Andersen Willumsson,€450k  
Baptiste Guillaume,€1.20m  
Tristan Gooijer,€2.00m  
Shiloh 't Zand,€1.50m  
Aimé Omgba,€1.50m  
Ringo Meerveld,€1.30m  
Johan Hove,€1.30m  
Dominik Janosek,€1.00m  
Jayden Addai,€1.00m  
Başar Önal,€1.00m  
Laros Duarte,€900k  
Thijmen Blokzijl,€900k  
Luciano Valente,€850k  
Kees Smit,€800k  
Mathis Suray,€800k  
Antef Tsoungui,€800k  
Ilias Sebaoui,€800k  
Romano Postema,€750k  
Marco Rente,€750k  
Levi Smans,€750k  
Matisse Didden,€700k  
Raffael Behounek,€700k  
Tommy St. Jago,€700k  
Clint Leemans,€700k  
Thijs Oosting,€700k  
Sami Ouaissa,€700k  
Dave Kwakman,€700k  
Mohamed Nassoh,€700k  
Thom van Bergen,€650k  
Kacper Kostorz,€650k  
Jesse Bosch,€650k  
Kacper Kostorz,€650k  
Boyd Reith,€600k  
Charlie Setford,€600k  
Rui Mendes,€600k  
Julius Dirksen,€550k  
Jan Van den Bergh,€550k  
Luca Plogmann,€500k  
Adrian Blake,€500k  
Hidde Jurjus,€500k  
Nick Doodeman,€500k  
Elías Már Ómarsson,€500k  
Boy Kemper,€500k  
Jasper Dahlhaus,€450k  
Agustín Anello,€450k  
Matthew Garbett,€450k  
Boyd Lucassen,€450k  
Rúnar Thór Sigurgeirsson,€450k  
Martin Koscelník,€450k  
Isak Dybvik Määttä,€450k  
Yanick van Osch,€450k  
Joshua Smits,€450k  
Thijs Jansen,€450k  
Calvin Raatsie,€400k  
Tom de Graaff,€400k  
Silas Andersen,€400k  
Casper Staring,€400k  
Calvin Raatsie,€400k  
Tom de Graaff,€400k  
Roy Kuijpers,€375k  
Roshon van Eijma,€350k  
Milan Robberechts,€350k  
Marvin Peersman,€350k  
Niels van Berkel,€350k  
Joshua Mukeh,€350k  
Manel Royo,€350k  
Roy Kortsmit,€350k  
Patrick Joosten,€325k  
Tom Boere,€325k  
Fredrik Oldrup Jensen,€325k  
Wouter Prins,€325k  
Amine Lachkar,€300k  
Finn Stam,€300k  
Luuk Wouters,€300k  
Erik Schouten,€300k  
Joey Pelupessy,€300k  
Tristan Kuijsten,€300k  
Rowan Besselink,€300k  
Tim van de Loo,€275k  
Max de Waal,€250k  
Tein Troost,€250k  
Max de Waal,€250k  
Tein Troost,€250k  
Kristian Strømland Lien,€250k  
Khaled Razak,€200k  
Liam van Gelderen,€200k  
Nordin Musampa,€150k  
Adam Kaied,€150k  
Fofin Turay,€150k  
Jeremy Bokila,€125k  
Dani Mathieu,€100k  
Tika de Jonge,€100k  
Kian Slor,€100k  
Robin Mantel,€50k  
Connor van den Berg,€50k  
Selim Can Sönmez,€50k  
Mostapha Rached,€50k  
Aron van Lare,€25k  
Aïmane Jaddi,€25k  
Jasper Meijster,€25k  
Maarten Schut,€25k  
Dirk Baron,€25k  
Miguel Rodríguez,€800k  
Daniel Bielica,€800k  
Úmaro Embaló,€1.00m  
Florian Krüger,€600k  
Jan Zamburek,€600k  
Marcus Pedersen,€5.50m  
Owen Wijndal,€5.50m  
Thomas Didillon-Hödl,€500k  
Josip Mitrovic,€600k  
Vasilios Zagaritis,€400k  
Johan Bakayoko,€45.00m  
Joey Veerman,€40.00m  
Santiago Gimenez,€40.00m  
Dávid Hancko,€35.00m  
Brian Brobbey,€35.00m  
Lutsharel Geertruida,€32.00m  
Jorrel Hato,€30.00m  
Quinten Timber,€28.00m  
Jerdy Schouten,€28.00m  
Olivier Boscagli,€27.00m  
Quilindschy Hartman,€23.00m  
Sergiño Dest,€22.00m  
Malik Tillman,€20.00m  
Noa Lang,€18.00m  
Diant Ramaj,€18.00m  
Steven Bergwijn,€18.00m  
Jordan Teze,€18.00m  
