Name,Clean Sheets %
Gaëtan Laborde
Simone Scuffet,0.097
William Osula
Manu Koné
Benjamin Pavard
Koen Casteels,0.16
Tobias Kempe
James McAtee
Pedro Chirivella
Youssouf Fofana
Thierry Correia
Aron Dønnum
Kevin Volland
Hicham Boudaoui
Billy Gilmour
Chumi
Stephan El Shaarawy
Mario Hermoso
Boubacar Traoré
Timothy Castagne
Teddy Teuma
Patrick Dorgu
Stefan Savic
Aarón Martín
Jorge Herrando
Jean-Philippe Mateta
Christian Eriksen
Luca Mazzitelli
Iván Balliu
Jens Cajuste
Giuseppe Pezzella
Denis Huseinbasic
Cheick Oumar Konaté
Jorginho
Matías Soulé
Lukas Daschner
Étienne Capoue
Neco Williams
Thibault De Smet
Mikkel Desler
Harvey Elliott
Philipp Hofmann
Alex Meret,0.194
César Montes
Granit Xhaka
Samuel Gigot
Malick Fofana
Jayden Bogle
Thiago Silva
Gonzalo Villar
Guido Rodríguez
Johan Mojica
Antonio Sánchez
Maximiliano Caufriez
Franck Honorat
Samu Omorodion
Bremer
Marvin Mehlem
Rafael Leão
Isaac Success
Tasos Douvikas
Nathan Collins
Adri Embarba
Steve Mounié
Óscar Trejo
Jack Robinson
Manuel Neuer,0.304
Geoffrey Kondogbia
Valentino Lazaro
Enzo Barrenechea
Andre Brooks
Matteo Ruggeri
Christian Kouamé
Linton Maina
Jonas Martin
Nico Schlotterbeck
Rodrigo Bentancur
Florian Wirtz
Unai López
Mattias Svanberg
Matz Sels,0.158
Nikola Moro
Yohann Magnin
Ollie Watkins
Rubén García
Alexis Blin
Gabriel Suazo
Nicolò Barella
Mohamed-Ali Cho
Thomas Kaminski,0.053
Adam Ounas
Rúben Dias
John McGinn
Jamie Leweling
Fran García
Harry Toffolo
Yacine Adli
Mahdi Camara
Joelinton
Florian Grillitsch
Abner Vinícius
Denis Thomalla
Arkadiusz Milik
Leonardo Balerdi
Mats Hummels
Lameck Banda
Vitinha
Alexandre Oukidja,0.206
Adam Marusic
Oliver Norwood
John Anthony Brooks
Noah Okafor
Daichi Kamada
Isi Palazón
Aihen Muñoz
Achraf Hakimi
Jarrod Bowen
Bernardo
Gianluca Lapadula
Kiliann Sildillia
Michael Folorunsho
Tom Krauß
Juan Iglesias
Mohamed Kaba
Abdoulaye Doucouré
Riccardo Sottil
Patrick Ciurria
Callum Wilson
Guillaume Restes,0.176
Josha Vagnoman
Joël Veltman
Zito Luvumbo
Ludovic Ajorque
Joachim Andersen
Alexandre Lacazette
Pau Torres
Bryan Mbeumo
Arsen Zakharyan
Kaio Jorge
Julian Ryerson
Francesco Caputo
Valentin Gendrey
Selim Amallah
Cristhian Stuani
Luka Modric
Josip Juranovic
Ronald Araujo
Pelly Ruddock Mpanzu
Jamie Bynoe-Gittens
Mattia Bani
Danilo Cataldi
Sead Kolasinac
Alexsandro Ribeiro
Josh Cullen
Rodri Sánchez
Iddrisu Baba
Predrag Rajkovic,0.25
Mikel Merino
Iker Muñoz
Rocco Reitz
Alessandro Bastoni
Marvin Ducksch
Leon Bailey
Jules Koundé
Manuel Locatelli
Robin Knoche
Samuel Grandsir
Teun Koopmeiners
Jorge de Frutos
Rassoul Ndiaye
Bernardo Silva
Andrii Lunin,0.476
Marvin Schwäbe,0.118
Aleksandr Golovin
Raúl de Tomás
Pedri
Antonio Blanco
João Cancelo
Fabián Ruiz
Manuel Lazzari
Valentín Castellanos
Boubakary Soumaré
Oliver Baumann,0.059
Muhammed Cham
Alassane Pléa
Milos Veljkovic
Michel Aebischer
Emerson
Nabil Bentaleb
Lorenzo Pellegrini
Antoine Griezmann
Jérémie Boga
Christoph Baumgartner
Dante
Auston Trusty
Samuele Birindelli
Dani Vivian
Matteo Darmian
Davide Calabria
Toti Gomes
Omar Traoré
Enzo Le Fée
Mikel Vesga
Lucas Ocampos
Alejandro Garnacho
Filip Jørgensen,0.167
Eric Martel
Pietro Pellegri
Issa Kaboré
Luis Milla
Brahim Díaz
Davide Zappacosta
Neto Borges
Curtis Jones
Willian Pacho
Dejan Ljubicic
Nahitan Nández
Bukayo Saka
Ismaël Traoré
Edoardo Bove
Javi Guerra
Antonio Rüdiger
Dan-Axel Zagadou
Timo Hübers
Thomas Foket
Matija Nastasic
Bilal Boutobba
Hugo Larsson
Adrien Truffert
Gianluigi Donnarumma,0.44
Romano Schmid
Federico Gatti
Ellyes Skhiri
Evan Ndicka
Milan Djuric
Vincenzo Grifo
Cauley Woodrow
Éderson
Mateusz Legowski
Carlos Neva
Darwin Machís
José Giménez
Massadio Haïdara
Nabil Alioui
Finn Dahmen,0.097
Stefano Sabelli
Ryan Christie
Rafael Borré
Marcel Sabitzer
Olivier Deman
Andrea Cambiaso
Fredrik Jensen
Jordan Ayew
Oscar Vilhelmsson
Leandro Trossard
Guillermo Maripán
Yves Bissouma
Lucas Beltrán
Reinier
Ivan Ordets
Alisson Becker,0.286
Sergio Akieme
Eray Cömert
Nicolas Höfler
Marvin Park
Uros Racic
Antonino Gallo
Leny Yoro
Fabio Miretti
Alfred Duncan
Maximilian Eggestein
Lukas Kübler
Dion Lopy
André Ayew
Diego Rico
Patrik Schick
Chris Richards
Iñaki Williams
Nicolò Zaniolo
Martín Zubimendi
Silvan Widmer
Romelu Lukaku
Liberato Cacace
Christoph Klarer
Carlos Augusto
Matteo Politano
Maximilian Wittek
Sean Longstaff
Hákon Haraldsson
Gastón Álvarez
Javi López
Rafa Marín
Hugo Duro
Junya Ito
Alessio Romagnoli
Robin Koch
Djibril Sow
Igor Julio
Kevin Müller,0.176
Justin Njinmah
Aleix García
Albert Gudmundsson
Julien Ponceau
Chris Führich
Rayan Aït-Nouri
Declan Rice
Francesco Acerbi
Manuel Ugarte
Giovanni González
Willy-Arnaud Boly
Adrien Tameze
Ismail Jakobs
Christophe Hérelle
Aster Vranckx
Matthieu Udol
Dayot Upamecano
Mykhailo Mudryk
Pavel Kaderábek
Joe Scally
Ihlas Bebou
Kévin N'Doram
Óscar Melendo
Roberto Gagliardini
Przemyslaw Frankowski
Jonas Hofmann
Sergi Guardiola
Jarrad Branthwaite
Ritsu Doan
Pierre Lees-Melou
Ridle Baku
Lewis Ferguson
Jordan Veretout
Rémy Cabella
Ibrahima Konaté
Armando Izzo
James Maddison
Alessandro Florenzi
Marcel Schuhen,0.097
Abde Ezzalzouli
Kevin Danso
Raoul Bellanova
Rodrigo Muniz
Hugo Guillamón
Erling Haaland
James Trafford,0.071
Yeray Álvarez
Christopher Trimmel
Luís Maximiano,0.182
David Soria,0.289
Benedikt Gimber
Mattéo Guendouzi
Fran Beltrán
Suat Serdar
Janik Haberer
Joel Ward
Brenden Aaronson
Akor Adams
Yoann Salmier
Adam Smith
Klaus Gjasula
Azzedine Ounahi
Moritz Jenz
Jonathan Gradit
Lazar Samardzic
Finn Becker
Pascal Groß
Kevin Gameiro
Max Aarons
Ondrej Duda
Caleb Ekuban
Jordan Ferri
Gabriel Jesus
