Name,Popularity
Gaëtan Laborde,1
Simone Scuffet,1
William Osula,1
Manu Koné,1
Benjamin Pavard,3
Koen Casteels,2
Tobias Kempe,1
James McAtee,1
Pedro Chirivella,1
Youssouf Fofana,2
Thierry Correia,1
Aron Dønnum,1
Kevin Volland,2
Hicham Boudaoui,1
Billy Gilmour,1
Chumi,1
Stephan El Shaarawy,2
Mario Hermoso,2
Boubacar Traoré,1
Timothy Castagne,2
Teddy Teuma,1
Patrick Dorgu,1
Stefan Savic,2
Aarón Martín,1
Jorge Herrando,1
Jean-Philippe Mateta,1
Christian Eriksen,3
Luca Mazzitelli,1
Iván Balliu,1
Jens Cajuste,1
Giuseppe Pezzella,1
Denis Huseinbasic,1
Cheick Oumar Konaté,3
Jorginho,3
Matías Soulé,1
Lukas Daschner,1
Étienne Capoue,1
Neco Williams,1
Thibault De Smet,1
Mikkel Desler,1
Harvey Elliott,1
Philipp Hofmann,1
Alex Meret,1
César Montes,1
Granit Xhaka,3
Samuel Gigot,1
Malick Fofana,1
Jayden Bogle,1
Thiago Silva,3
Gonzalo Villar,1
Guido Rodríguez,1
Johan Mojica,1
Antonio Sánchez,1
Maximiliano Caufriez,1
Franck Honorat,1
Samu Omorodion,1
Bremer,1
Marvin Mehlem,1
Rafael Leão,4
Isaac Success,1
Tasos Douvikas,1
Nathan Collins,1
Adri Embarba,1
Steve Mounié,1
Óscar Trejo,1
Jack Robinson,1
Manuel Neuer,4
Geoffrey Kondogbia,2
Valentino Lazaro,1
Enzo Barrenechea,1
Andre Brooks,1
Matteo Ruggeri,1
Christian Kouamé,1
Linton Maina,1
Jonas Martin,1
Nico Schlotterbeck,2
Rodrigo Bentancur,2
Florian Wirtz,5
Unai López,2
Mattias Svanberg,1
Matz Sels,1
Nikola Moro,1
Yohann Magnin,1
Ollie Watkins,3
Rubén García,1
Alexis Blin,1
Gabriel Suazo,1
Nicolò Barella,4
Mohamed-Ali Cho,1
Thomas Kaminski,1
Adam Ounas,1
Rúben Dias,4
John McGinn,1
Jamie Leweling,1
Fran García,2
Harry Toffolo,1
Yacine Adli,1
Mahdi Camara,1
Joelinton,2
Florian Grillitsch,1
Abner Vinícius,1
Denis Thomalla,1
Arkadiusz Milik,1
Leonardo Balerdi,1
Mats Hummels,3
Lameck Banda,1
Vitinha,3
Alexandre Oukidja,1
Adam Marusic,1
Oliver Norwood,1
John Anthony Brooks,1
Noah Okafor,1
Daichi Kamada,1
Isi Palazón,1
Aihen Muñoz,1
Achraf Hakimi,3
Jarrod Bowen,1
Bernardo,2
Gianluca Lapadula,1
Kiliann Sildillia,1
Michael Folorunsho,1
Tom Krauß,1
Juan Iglesias,1
Mohamed Kaba,1
Abdoulaye Doucouré,2
Riccardo Sottil,1
Patrick Ciurria,1
Callum Wilson,1
Guillaume Restes,1
Josha Vagnoman,1
Joël Veltman,1
Zito Luvumbo,1
Ludovic Ajorque,1
Joachim Andersen,1
