Name,Value
Stoichkov,€4.00m  
Santiago Colombatto,€4.00m  
Nico Melamed,€4.00m  
Alejandro Francés,€4.00m  
Francho Serrano,€3.00m  
Nicolás Castro,€3.00m  
Iván Azón,€3.00m  
Iñigo Vicente,€2.80m  
Nicolás Fernández Mercau,€2.50m  
Gaspar Campos,€2.50m  
Pablo Martínez,€2.50m  
Mohamed Bouldini,€2.20m  
Aleix Febas,€2.20m  
Jon Bautista,€2.20m  
Unai Vencedor,€2.20m  
Curro Sánchez,€2.20m  
Jaime Seoane,€2.00m  
Juan Carlos Arana,€2.00m  
Kaiky,€2.00m  
Luca Zidane,€2.00m  
Fer Niño,€2.00m  
José Corpas,€2.00m  
Sebas Moyano,€1.80m  
Mario Soriano,€1.80m  
Rubén Yáñez,€1.80m  
Arnau Puigmal,€1.80m  
Oriol Rey,€1.60m  
Jokin Ezkieta,€1.60m  
Róber Pier,€1.50m  
José Antonio Caro,€1.50m  
Uros Djurdjevic,€1.50m  
Nacho Méndez,€1.50m  
Sergio Lozano,€1.50m  
Alemão,€1.50m  
Dani Calvo,€1.50m  
Raúl Guti,€1.50m  
David Costas,€1.40m  
Alejandro Cantero,€1.40m  
Marc Aguado,€1.40m  
Edgar Badia,€1.40m  
Toni Moya,€1.40m  
Javi Ontiveros,€1.40m  
Manu Hernando,€1.40m  
Aitor Córdoba,€1.20m  
Guille Rosas,€1.20m  
Adrián de la Fuente,€1.20m  
Matheus Pereira,€1.20m  
Aritz Aldasoro,€1.20m  
Luis Muñoz,€1.20m  
Carlos Clerc,€1.20m  
Jérémy Mellot,€1.20m  
Dani Escriche,€1.20m  
Ivan Chapela,€1.20m  
Óscar Plano,€1.20m  
John Donald,€1.20m  
Cristian Gutiérrez,€1.20m  
José Matos,€1.20m  
Jesús Bernal,€1.20m  
Dani Gómez,€1.20m  
Carlos Álvarez,€1.20m  
Sinan Bakış,€1.20m  
Dani Ojeda,€1.20m  
Sergio Ortuño,€1.00m  
Oier Luengo,€1.00m  
Roger Brugué,€1.00m  
José Salinas,€1.00m  
Àlex Corredera,€1.00m  
David Mella,€1.00m  
Alberto Quiles,€1.00m  
Borja Sánchez,€1.00m  
Tomás Alarcón,€1.00m  
Sergio Álvarez,€1.00m  
Íñigo Sainz-Maza,€1.00m  
Miguel Atienza,€1.00m  
Víctor Campuzano,€1.00m  
Giorgi Kochorashvili,€1.00m  
Peru Nolaskoain,€1.00m  
Sergio Barcia,€1.00m  
Higinio Marín,€1.00m  
Agus Medina,€1.00m  
Ander Cantero,€1.00m  
Lucas Ahijado,€1.00m  
Samuel Obeng,€1.00m  
Juan Berrocal,€1.00m  
Rodrigo Mendoza,€1.00m  
Jorge Pascual,€1.00m  
Miguel Loureiro,€1.00m  
Jon Morcillo,€1.00m  
Pablo Insua,€1.00m  
Cristian Glauder,€900k  
Sergio Bermejo,€900k  
Óscar Sielva,€900k  
Álex Sancris,€900k  
Diego González,€900k  
Ignasi Vilarrasa,€900k  
Riki Rodríguez,€900k  
Joaquín Muñoz,€900k  
Mario Soberón,€900k  
Álvaro Rodríguez,€800k  
Cote,€800k  
Jairo Izquierdo,€800k  
Masca,€800k  
Fabrício,€800k  
Cristian Salvador,€800k  
Jorge Pulido,€800k  
Gerard Valentín,€800k  
Jérémy Blasco,€800k  
Víctor Camarasa,€800k  
Christian Joel,€800k  
Álex Millán,€800k  
Óscar Clemente,€800k  
Ángel Algobia,€800k  
Andrés García,€800k  
Mourad El Ghezouani,€800k  
José Amo,€800k  
Mo Dauda,€800k  
Marciano Sanca,€800k  
Anderson Arroyo,€800k  
Alberto del Moral,€800k  
Miguel San Román,€800k  
Álvaro Mantilla,€800k  
Yann Bodiger,€800k  
Sergio González,€800k  
Luismi Cruz,€800k  
Kévin Appin,€800k  
Pablo Cuñat,€800k  
Mario Gaspar,€800k  
Dani Queipo,€800k  
Pedro Bigas,€800k  
Iván Romero,€800k  
Álvaro Sanz,€800k  
Unai Elgezabal,€700k  
Houboulang Mendes,€700k  
Álvaro Núñez,€700k  
Maikel Mesa,€700k  
Teto Martín,€700k  
Mohamed Djetei,€700k  
Yanis Rahmani,€700k  
David Castro,€700k  
José León,€700k  
Juanma García,€700k  
Dani Tasende,€700k  
Marc Mateu,€700k  
Miquel Parera,€700k  
Waldo Rubio,€700k  
Jaume Grau,€700k  
Iván Calero,€700k  
Nacho Martín,€700k  
Josan,€700k  
Yeremay Hernández,€700k  
Nikola Sipcic,€600k  
Diego Sánchez,€600k  
Aitor Buñuel,€600k  
Sergio Cubero,€600k  
Fidel,€600k  
Joan Femenías,€600k  
Juan Carlos Real,€600k  
Álvaro Jiménez,€600k  
Javi Castro,€600k  
Juan Pérez,€600k  
Javi Mier,€600k  
Antonio Pacheco,€600k  
Edu Espiau,€600k  
Juanjo Narváez,€600k  
Jonmi Magunagoitia,€600k  
Alberto Reina,€600k  
Lander Olaetxea,€600k  
Quentin Braat,€600k  
Pablo García,€600k  
Jonathan Varane,€600k  
Julián Delmás,€600k  
Álex Martín,€600k  
Lucas Pérez,€600k  
Tachi,€600k  
Quentin Lecoeuche,€600k  
Rober Ibáñez,€500k  
Saúl García,€500k  
Christian Borrego,€500k  
Jair Amador,€500k  
Elady Zorrilla,€500k  
Álex Barbu,€500k  
Diego Villares,€500k  
Loïc Williams,€500k  
Dario Dumic,€500k  
Lago Júnior,€500k  
Brais Martínez,€500k  
Adam Boayar,€500k  
Jesús Ruiz,€500k  
Lluís López,€500k  
Carlos Nieto,€500k  
Gaëtan Poussin,€500k  
Carlos Isaac,€500k  
Hugo Vallejo,€500k  
Rodri Tarín,€500k  
Víctor García,€500k  
Ekain Zenitagoia,€500k  
Mario García,€500k  
Iván Barbero,€500k  
Davo,€500k  
Juanto Ortuño,€400k  
Carlos Pomares,€400k  
Guillermo Vallejo,€400k  
Axel Bamba,€400k  
Ángel Rodríguez,€400k  
Hugo Rama,€400k  
Christian Montes,€400k  
Josep Señé,€400k  
Álvaro Vadillo,€400k  
Sabin Merino,€400k  
Juan María Alcedo,€400k  
Fran Gámez,€400k  
Fran Manzanara,€400k  
Chema Rodríguez,€400k  
Enric Gallego,€400k  
Santi Cazorla,€300k  
Sergi Enrich,€300k  
Yeray Cabanzón,€300k  
Raúl Lizoain,€300k  
Moi Delgado,€300k  
Slavy,€300k  
Dani Jiménez,€300k  
Pablo Tomeo,€300k  
Álvaro Romero,€300k  
Pedro Alcalá,€300k  
Jovanny Bolívar,€300k  
Piña,€300k  
Derick Poloni,€300k  
Emilio Bernad,€300k  
Germán Parreño,€300k  
José Ángel Jurado,€300k  
Nikolaos Michelis,€300k  
Salvi Carrasco,€300k  
Andoni Zubiaurre,€300k  
Nacho Quintana,€250k  
Jon Guruzeta,€250k  
Javi Villar,€250k  
Berto Cayarga,€250k  
Ximo Navarro,€250k  
Jaime Sánchez,€250k  
Youness Lachhab,€200k  
Álex Cardero,€200k  
Juan Gutiérrez,€200k  
Jon García,€200k  
Rai Marchán,€200k  
Raúl Alcaina,€200k  
Eric Puerto,€200k  
Marcos Luna,€200k  
Gonzalo Verdú,€200k  
Nacho Monsalve,€200k  
Marc-Olivier Doué,€200k  
Ángel Troncho,€200k  
Pablo Martínez,€200k  
Mario da Costa,€150k  
Javi Díaz,€150k  
Dani Barcia,€150k  
Iano Simão,€150k  
Damián Musto,€100k  
Álex Bernal,€100k  
Andy Rodríguez,€100k  
Cristian Álvarez,€100k  
Ian Mackay,€100k  
Loïc Badiashile,€100k  
