Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/379868/Show/Jude-Bellingham,Jude Bellingham,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",21,",  M(CLR)  ",27(1),2324	,19	,6	,5	,1	,2.3	,89.8	,0.9	,7	,7.81
https://www.whoscored.com/Players/337782/Show/Vin%C3%ADcius-J%C3%BAnior,Vinícius Júnior,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",23,",  AM(L),FW  ",22(4),1875	,15	,5	,7	,-	,3	,78.1	,-	,4	,7.41
https://www.whoscored.com/Players/82989/Show/Isco,Isco,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",32,",  M(CLR),FW  ",28(1),2340	,8	,5	,10	,-	,2.2	,86.2	,0.6	,5	,7.40
https://www.whoscored.com/Players/397821/Show/Savinho,Savinho,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",20,",  AM(CLR)  ",35(2),2992	,9	,10	,5	,-	,1.2	,83.2	,0.1	,6	,7.29
https://www.whoscored.com/Players/302497/Show/Alexander-S%C3%B8rloth,Alexander Sørloth,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",28,",  AM(R),FW  ",30(4),2493	,23	,6	,3	,-	,2.3	,76.6	,2.4	,7	,7.23
https://www.whoscored.com/Players/80241/Show/Antoine-Griezmann,Antoine Griezmann,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",33,",  AM(CLR),FW  ",31(2),2654	,16	,6	,5	,-	,2.4	,82.7	,0.4	,6	,7.23
https://www.whoscored.com/Players/29400/Show/Robert-Lewandowski,Robert Lewandowski,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",35,",  FW  ",32(3),2759	,19	,8	,5	,-	,2.7	,72.3	,1.5	,4	,7.20
https://www.whoscored.com/Players/238916/Show/Mikel-Merino,Mikel Merino,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",28,",  M(C)  ",27(5),2485	,5	,3	,10	,-	,0.9	,77.5	,5.3	,6	,7.18
https://www.whoscored.com/Players/408449/Show/Nico-Williams,Nico Williams,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",21,",  AM(LR)  ",29(2),2283	,5	,11	,4	,1	,1.8	,79.2	,0.3	,3	,7.16
https://www.whoscored.com/Players/255182/Show/I%C3%B1aki-Williams,Iñaki Williams,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",30,",  AM(CLR),FW  ",32(2),2856	,12	,3	,4	,-	,2.7	,73.7	,0.9	,4	,7.15
https://www.whoscored.com/Players/362602/Show/Gorka-Guruzeta,Gorka Guruzeta,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",27,",  FW  ",30(2),2241	,14	,5	,2	,-	,2	,69.3	,2.2	,4	,7.15
https://www.whoscored.com/Players/77464/Show/Ilkay-G%C3%BCndogan,Ilkay Gündogan,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",33,",  M(C)  ",33(3),2998	,5	,9	,5	,-	,1.2	,90.5	,0.2	,2	,7.15
https://www.whoscored.com/Players/347862/Show/Rodrygo,Rodrygo,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",23,",  AM(CLR),FW  ",28(6),2391	,10	,5	,2	,-	,2.6	,89.9	,0.1	,3	,7.14
https://www.whoscored.com/Players/97659/Show/Gerard-Moreno,Gerard Moreno,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",32,",  AM(CR),FW  ",28(2),2232	,10	,6	,-	,-	,2.1	,79.5	,0.9	,4	,7.13
https://www.whoscored.com/Players/279423/Show/Frenkie-de-Jong,Frenkie de Jong,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",27,",  D(C),DMC  ",20,1644	,2	,-	,7	,-	,0.4	,93.1	,1.2	,2	,7.12
https://www.whoscored.com/Players/31772/Show/Toni-Kroos,Toni Kroos,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",34,",  M(C)  ",24(9),2130	,1	,8	,3	,-	,1.1	,94.7	,0.2	,2	,7.12
https://www.whoscored.com/Players/344644/Show/Federico-Valverde,Federico Valverde,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",25,",  M(CLR)  ",33(4),2911	,2	,7	,2	,-	,1.5	,91.2	,0.6	,3	,7.12
https://www.whoscored.com/Players/318505/Show/Yangel-Herrera,Yangel Herrera,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",26,",  M(C)  ",27(2),2121	,5	,-	,9	,-	,1.8	,87.4	,2.1	,1	,7.11
https://www.whoscored.com/Players/480249/Show/Lamine-Yamal,Lamine Yamal,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",16,",  AM(R)  ",22(15),2200	,5	,5	,3	,-	,1.6	,84.1	,0.1	,4	,7.11
https://www.whoscored.com/Players/377285/Show/Takefusa-Kubo,Takefusa Kubo,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",23,",  AM(CLR),FW  ",24(6),2155	,7	,4	,2	,-	,1.5	,80.6	,0.4	,3	,7.11
https://www.whoscored.com/Players/128967/Show/Jo%C3%A3o-Cancelo,João Cancelo,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",30,",  D(LR),M(LR)  ",29(3),2506	,2	,4	,7	,-	,1	,84.6	,0.8	,4	,7.09
https://www.whoscored.com/Players/296975/Show/Artem-Dovbyk,Artem Dovbyk,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",27,",  FW  ",32(4),2606	,24	,8	,2	,-	,2.4	,71.8	,1.1	,4	,7.08
https://www.whoscored.com/Players/280663/Show/Aleix-Garc%C3%ADa,Aleix García,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",27,",  DMC  ",36(1),3201	,3	,6	,4	,1	,1.1	,91.7	,0.5	,5	,7.08
https://www.whoscored.com/Players/9909/Show/Sergio-Ramos,Sergio Ramos,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",38,",  D(CR)  ",28,2518	,3	,-	,7	,1	,1	,89.2	,2.9	,2	,7.06
https://www.whoscored.com/Players/317541/Show/Brahim-D%C3%ADaz,Brahim Díaz,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",24,",  AM(CLR),FW  ",18(13),1553	,8	,6	,-	,-	,1.2	,87.1	,0.1	,4	,7.06
https://www.whoscored.com/Players/98126/Show/Ante-Budimir,Ante Budimir,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",32,",  FW  ",29(4),2449	,17	,2	,4	,-	,2.3	,54.8	,4.9	,6	,7.06
