Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Jude Bellingham,"Real Madrid, ",21,",  M(CLR)  ",27(1),2324	,19	,6	,2.3	,1.7	,1.8	,2.6	,0.1	,1.4	,1.9	,7.81
Vinícius Júnior,"Real Madrid, ",23,",  AM(L),FW  ",22(4),1875	,15	,5	,3	,1.2	,2.5	,2.1	,0.4	,1.5	,2.7	,7.41
Isco,"Real Betis, ",32,",  M(CLR),FW  ",28(1),2340	,8	,5	,2.2	,2.8	,2.6	,2.7	,0.1	,2.3	,2.7	,7.40
Savinho,"Girona, ",20,",  AM(CLR)  ",35(2),2992	,9	,10	,1.2	,1.4	,2.8	,1.8	,0.4	,1.3	,2.6	,7.29
Alexander Sørloth,"Villarreal, ",28,",  AM(R),FW  ",30(4),2493	,23	,6	,2.3	,1	,0.9	,0.6	,0.7	,1.8	,2.9	,7.23
Antoine Griezmann,"Atletico, ",33,",  AM(CLR),FW  ",31(2),2654	,16	,6	,2.4	,1.3	,0.7	,0.8	,0.4	,0.8	,1.2	,7.23
Robert Lewandowski,"Barcelona, ",35,",  FW  ",32(3),2759	,19	,8	,2.7	,0.8	,0.7	,1.6	,0.7	,0.8	,2.5	,7.20
Mikel Merino,"Real Sociedad, ",28,",  M(C)  ",27(5),2485	,5	,3	,0.9	,0.6	,0.8	,1.9	,0.2	,1.3	,1.9	,7.18
Nico Williams,"Athletic Club, ",21,",  AM(LR)  ",29(2),2283	,5	,11	,1.8	,1.5	,2.8	,1.2	,0.4	,1.6	,2.5	,7.16
Iñaki Williams,"Athletic Club, ",30,",  AM(CLR),FW  ",32(2),2856	,12	,3	,2.7	,1.3	,1.4	,1.3	,0.7	,1.4	,2.5	,7.15
Gorka Guruzeta,"Athletic Club, ",27,",  FW  ",30(2),2241	,14	,5	,2	,0.8	,0.6	,0.7	,0.3	,0.9	,1.9	,7.15
Ilkay Gündogan,"Barcelona, ",33,",  M(C)  ",33(3),2998	,5	,9	,1.2	,2.7	,0.9	,1.2	,0.2	,0.8	,1.1	,7.15
Rodrygo,"Real Madrid, ",23,",  AM(CLR),FW  ",28(6),2391	,10	,5	,2.6	,1.4	,1.8	,1.4	,0.4	,0.9	,2.1	,7.14
Gerard Moreno,"Villarreal, ",32,",  AM(CR),FW  ",28(2),2232	,10	,6	,2.1	,1.8	,1.4	,1.3	,0.6	,1.8	,1.6	,7.13
Frenkie de Jong,"Barcelona, ",27,",  D(C),DMC  ",20,1644	,2	,-	,0.4	,1.1	,0.7	,1.1	,0.1	,0.9	,0.7	,7.12
Toni Kroos,"Real Madrid, ",34,",  M(C)  ",24(9),2130	,1	,8	,1.1	,1.9	,0.2	,1.2	,0.1	,0.2	,0.2	,7.12
