Name,Value
Marcos Fernández,€50k  
Edson Mucuana,€75k  
Gabri Martínez,€1.80m  
Jandro Orellana,€1.00m  
José Fontán,€1.00m  
Álex Bermejo,€800k  
Diego Collado,€800k  
Roko Baturina,€700k  
Darío Poveda,€500k  
Raúl Blanco,€350k  
Jorge Aguirre,€300k  
Óscar Rivas,€300k  
Clau Mendes,€250k  
Roberto Fernández,€600k  
Marco Moreno,€400k  
Pablo Gozálbez,€800k  
Santi García,€200k  
Rodrigo Mora,€3.00m  
Rafael Rodrigues,€1.80m  
Henrique Pereira,€1.80m  
Gabriel Silva,€1.70m  
Gustavo Marques,€1.40m  
Rodrigo Pinheiro,€1.30m  
Bruno Almeida,€1.20m  
Clayton,€1.00m  
Ricardinho,€1.00m  
João Tomé,€1.00m  
João Mendes,€1.00m  
Pedro Pacheco,€900k  
Vladan Danilovic,€900k  
Jesús Ramírez,€900k  
Lucas Soares,€800k  
Gabriel Batista,€800k  
Adriano Firmino,€750k  
Gorby,€750k  
Luan,€750k  
Benchimol,€700k  
Luís Esteves,€700k  
John Mercado,€700k  
Sidney Lima,€700k  
Benny,€700k  
Paulo Henrique,€700k  
Lucas França,€600k  
Ulisses,€600k  
Léo Alaba,€600k  
Serginho,€600k  
Klismahn,€550k  
Carlos Daniel,€500k  
Talles Wander,€500k  
Afonso Rodrigues,€500k  
João Goulart,€500k  
Miguel Sousa,€500k  
Pedro Ferreira,€450k  
Vasco Lopes,€450k  
Vinícius Lopes,€450k  
MT,€450k  
Sidnei Tavares,€400k  
Alisson Safira,€400k  
André Sousa,€400k  
Pablo,€400k  
Dudu Teodora,€350k  
Bica,€350k  
João Costa,€350k  
José Gomes,€350k  
Chico Gonçalves,€300k  
Fernando Fonseca,€300k  
Calila,€300k  
Rafael Santos,€300k  
Ibrahim Alhassan,€300k  
Watts,€250k  
Zé Ricardo,€250k  
Gustavo Mendonça,€250k  
Jonatan Lucca,€250k  
Rúben Macedo,€250k  
Jordi Pola,€250k  
Alysson,€225k  
Idrissa Dioh,€225k  
Eric Veiga,€200k  
Bruno Ventura,€200k  
Vinicius Machado,€200k  
Rui Encarnação,€150k  
Luís Silva,€150k  
Thiago Freitas,€150k  
David Tavares,€150k  
João Oliveira,€125k  
Maxuel,€125k  
Brenner,€125k  
Simão,€100k  
Denivys,€100k  
Lucas Moura,€100k  
Festim Shatri,€75k  
João Aurélio,€75k  
Yair Mena,€75k  
André Sousa,€75k  
Jota,€75k  
André Simões,€75k  
Pedro Trigueira,€75k  
Graça,€50k  
Marcos Díaz,€50k  
Sérgio Marakis,€50k  
Nenê,€50k  
Lucas Oliveira,€50k  
Rafael Martins,€50k  
Luís Rocha,€50k  
Daniel Borges,€50k  
Jorge Teixeira,€25k  
Rildo,€1.00m  
Kaique Pereira,€400k  
Brandon Aguilera,€300k  
Kiko Bondoso,€600k  
Karem Zoabi,€600k  
Capita,€250k  
Eduardo Fereira,€250k  
Bobsin,€600k  
Kevin Chamorro,€375k  
Lucas Áfrico,€300k  
Amine El Ouazzani,€2.00m  
Yanis Begraoui,€900k  
Issiar Dramé,€400k  
Kévin Boma,€400k  
Ibrahima Ba,€50k  
Thiago Helguera,€1.00m  
Gustavo Viera,€100k  
Andreas Schjelderup,€10.00m  
Nico Mantl,€1.20m  
Marko Gudzulic,€50k  
Ruben Kluivert,€600k  
Vladan Kovacevic,€6.00m  
Bartlomiej Wdowik,€3.00m  
Gil Dias,€900k  
Viktor Gyökeres,€65.00m  
João Neves,€55.00m  
Gonçalo Inácio,€45.00m  
António Silva,€45.00m  
Morten Hjulmand,€40.00m  
Diogo Costa,€40.00m  
Ousmane Diomande,€40.00m  
Evanilson,€35.00m  
Alan Varela,€35.00m  
Pedro Gonçalves,€32.00m  
Pepê,€30.00m  
Orkun Kökçü,€27.00m  
David Neres,€25.00m  
Anatoliy Trubin,€25.00m  
Marcos Leonardo,€25.00m  
Galeno,€25.00m  
Francisco Conceição,€22.00m  
Florentino,€20.00m  
Trincão,€20.00m  
Marcus Edwards,€20.00m  
Fredrik Aursnes,€20.00m  
Simon Banza,€18.00m  
Morato,€15.00m  
Ricardo Horta,€15.00m  
Nico González,€15.00m  
João Mário,€15.00m  
Hidemasa Morita,€15.00m  
Arthur Cabral,€14.00m  
Nuno Santos,€14.00m  
Alexander Bah,€13.00m  
Otávio,€13.00m  
Rodrigo Zalazar,€12.00m  
Jota Silva,€12.00m  
Stephen Eustaquio,€11.00m  
Gianluca Prestianni,€10.00m  
Benjamín Rollheiser,€10.00m  
Roger,€10.00m  
Geny Catamo,€10.00m  
Iván Fresneda,€9.00m  
Matheus Reis,€8.00m  
Daniel Bragança,€8.00m  
Iván Jaime,€8.00m  
Jerry St. Juste,€8.00m  
Eduardo Quaresma,€8.00m  
Mateus Fernandes,€8.00m  
Iván Jaime,€8.00m  
Jerry St. Juste,€8.00m  
Tomás Händel,€7.00m  
Álvaro Carreras,€7.00m  
Wendell,€7.00m  
Bruma,€7.00m  
Tomás Araújo,€7.00m  
Marko Grujic,€6.00m  
Francisco Moura,€6.00m  
Luiz Júnior,€6.00m  
Matheus,€6.00m  
Cristo,€6.00m  
Sikou Niakaté,€6.00m  
Zaydou Youssouf,€5.00m  
Toni Martínez,€5.00m  
Vitor Carvalho,€5.00m  
Casper Tengstedt,€5.00m  
Robert Bozenik,€5.00m  
Rafik Guitane,€5.00m  
Tiago Gouveia,€5.00m  
Serdar Saatçı,€5.00m  
Danny Namaso,€5.00m  
Gabriel Pereira,€4.00m  
Bruno Varela,€4.00m  
Ricardo Mangas,€4.00m  
Belloumi,€4.00m  
Pedro Malheiro,€4.00m  
João Mário,€4.00m  
Martim Fernandes,€4.00m  
Franco Israel,€3.50m  
Dário Essugo,€3.50m  
Mirko Topic,€3.50m  
João Marques,€3.50m  
Leonardo Lelo,€3.50m  
Fábio Cardoso,€3.50m  
Morlaye Sylla,€3.00m  
Tiago Silva,€3.00m  
Toni Borevkovic,€3.00m  
André Franco,€3.00m  
Gonçalo Borges,€3.00m  
Kanya Fujimoto,€3.00m  
Ricardo Esgaio,€3.00m  
Alan,€3.00m  
Fabiano,€3.00m  
Gonçalo Franco,€3.00m  
Koba Koindredi,€3.00m  
Chidozie Awaziem,€3.00m  
Ricardo Velho,€3.00m  
Bruno Duarte,€3.00m  
Bruno Onyemaechi,€3.00m  
Tiago Silva,€3.00m  
Toni Borevkovic,€3.00m  
André Franco,€3.00m  
Gonçalo Borges,€3.00m  
Chidozie Awaziem,€3.00m  
Ricardo Velho,€3.00m  
Bruno Duarte,€3.00m  
Bruno Onyemaechi,€3.00m  
Gonçalo Franco,€3.00m  
Koba Koindredi,€3.00m  
Jorge Fernandes,€2.50m  
Rony Lopes,€2.50m  
Henrique Araújo,€2.50m  
Félix Correia,€2.50m  
Bernardo Vital,€2.50m  
Wagner Pina,€2.00m  
