Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Kylian Mbappé,"PSG, ",25,",  AM(CLR),FW  ",24(5),2160	,0.1	,0.1	,0.7	,-	,-	,0.2	,-	,-	,7.71
Romain Del Castillo,"Brest, ",28,",  AM(CLR),FW  ",30(3),2522	,1.4	,0.3	,0.6	,-	,0.2	,1.6	,-	,-	,7.35
Aleksandr Golovin,"Monaco, ",28,",  M(CLR)  ",25,2155	,1.7	,0.8	,1	,-	,0.5	,1.1	,0.1	,-	,7.30
Téji Savanier,"Montpellier, ",32,",  M(C)  ",32,2777	,1.2	,1	,1.3	,-	,0.8	,1.5	,0.3	,-	,7.28
Ousmane Dembélé,"PSG, ",27,",  AM(CLR),FW  ",17(9),1510	,0.7	,0.2	,0.3	,-	,0.1	,0.3	,-	,-	,7.28
Vitinha,"PSG, ",24,",  M(C)  ",23(5),2130	,1.4	,0.8	,0.6	,-	,1	,1.1	,0.4	,-	,7.23
Pierre Lees-Melou,"Brest, ",31,",  M(CLR)  ",29,2521	,3.3	,1.5	,1.6	,0.1	,2	,2.8	,0.4	,-	,7.22
Georges Mikautadze,"Metz, ",23,",  FW  ",20,1755	,0.2	,0.4	,0.7	,-	,0.1	,0.5	,-	,-	,7.17
Edon Zhegrova,"Lille, ",25,",  AM(R)  ",25(8),2299	,1	,0.2	,0.7	,-	,0.2	,0.7	,-	,-	,7.15
Manuel Ugarte,"PSG, ",23,",  DMC  ",21(4),1935	,3.9	,1.6	,1.8	,0.2	,1	,1.8	,0.2	,-	,7.15
Wilfried Singo,"Monaco, ",23,",  D(CR),M(R)  ",24(1),2187	,1.4	,2	,1.4	,0.5	,3.1	,0.4	,0.6	,1	,7.15
Gianluigi Donnarumma,"PSG, ",25,",  GK  ",25,2170	,-	,-	,0.1	,-	,0.6	,-	,-	,-	,7.14
Florian Sotoca,"Lens, ",33,",  M(CR),FW  ",29(3),2603	,1	,0.6	,0.9	,-	,1.1	,0.7	,0.1	,-	,7.13
Pierre-Emerick Aubameyang,"Marseille, ",35,",  M(CLR),FW  ",30(4),2628	,0.6	,0.3	,0.3	,-	,0.7	,0.6	,0.1	,-	,7.09
Junya Ito,"Reims, ",31,",  M(LR),FW  ",31,2722	,1.1	,0.5	,0.6	,-	,0.2	,0.8	,-	,-	,7.09
Benjamin André,"Lille, ",33,",  D(R),M(CLR)  ",29(1),2575	,3	,1.2	,1.7	,0.1	,1.9	,1.3	,0.2	,-	,7.08
Bradley Locko,"Brest, ",22,",  D(L),M(L)  ",33,2961	,2.9	,1.2	,0.8	,0.3	,1.7	,1	,-	,-	,7.07
Alexandre Lacazette,"Lyon, ",33,",  M(CLR),FW  ",27(2),2308	,0.7	,0.3	,1.7	,-	,0.3	,0.4	,0.1	,-	,7.07
Jérémie Boga,"Nice, ",27,",  AM(CLR),FW  ",24(4),2011	,0.6	,0.3	,0.3	,-	,0.1	,0.4	,0.1	,-	,7.06
Jonathan David,"Lille, ",24,",  AM(C),FW  ",30(4),2641	,0.8	,0.3	,0.9	,-	,0.1	,0.5	,-	,-	,7.05
Christopher Opéri,"Le Havre, ",27,",  D(L),M(L)  ",28,2447	,2	,1.3	,0.7	,0.3	,1.8	,1	,0.3	,-	,7.05
Youssouf Fofana,"Monaco, ",25,",  DMC  ",31(1),2703	,1.9	,1.2	,1.2	,-	,1	,1.1	,0.2	,1	,7.03
Maxence Caqueret,"Lyon, ",24,",  M(C)  ",34,3025	,2.7	,1.4	,1	,-	,0.7	,2	,0.3	,-	,7.02
Teddy Teuma,"Reims, ",30,",  AM(C)  ",25(3),2125	,1.9	,0.7	,1.1	,-	,0.1	,1.3	,0.1	,-	,7.01
Vanderson,"Monaco, ",23,",  D(R),M(R)  ",20,1649	,3	,1.8	,2.3	,0.1	,1.8	,1.9	,0.1	,-	,7.01
Achraf Hakimi,"PSG, ",25,",  D(LR),M(R)  ",20(5),1931	,1.2	,0.5	,0.9	,0.2	,1	,0.7	,0.2	,-	,7.00
Leonardo Balerdi,"Marseille, ",25,",  D(C)  ",26(1),2275	,2.9	,1.9	,0.9	,0.2	,3.1	,0.7	,0.6	,-	,7.00
Kenny Lala,"Brest, ",32,",  D(LR),M(R)  ",33,2970	,2.4	,0.8	,0.7	,0.1	,1.9	,0.8	,0.2	,-	,6.97
