Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Kylian Mbappé,"PSG, ",25,",  AM(CLR),FW  ",24(5),2160	,27	,7	,4.1	,1.4	,2.1	,1.3	,0.7	,1.2	,1.9	,7.71
Romain Del Castillo,"Brest, ",28,",  AM(CLR),FW  ",30(3),2522	,8	,8	,1.2	,2.7	,2.3	,1.8	,0.1	,1.6	,2	,7.35
Aleksandr Golovin,"Monaco, ",28,",  M(CLR)  ",25,2155	,6	,6	,1.8	,2	,1	,1.4	,0.1	,0.9	,1.7	,7.30
Téji Savanier,"Montpellier, ",32,",  M(C)  ",32,2777	,9	,6	,2.6	,2.8	,1.7	,2.5	,0.1	,1.2	,1.8	,7.28
Ousmane Dembélé,"PSG, ",27,",  AM(CLR),FW  ",17(9),1510	,3	,8	,1.7	,2.3	,2.5	,1	,0.2	,0.9	,1.4	,7.28
Vitinha,"PSG, ",24,",  M(C)  ",23(5),2130	,7	,4	,1.6	,1.3	,1.1	,0.6	,-	,0.8	,1.1	,7.23
Pierre Lees-Melou,"Brest, ",31,",  M(CLR)  ",29,2521	,4	,-	,1.8	,0.9	,1	,2	,-	,0.4	,1.5	,7.22
Georges Mikautadze,"Metz, ",23,",  FW  ",20,1755	,13	,4	,2.9	,1.1	,2.1	,1.3	,0.1	,1.3	,2.2	,7.17
Edon Zhegrova,"Lille, ",25,",  AM(R)  ",25(8),2299	,6	,6	,2.5	,1.4	,2.7	,0.9	,0.3	,1.5	,1.7	,7.15
Manuel Ugarte,"PSG, ",23,",  DMC  ",21(4),1935	,-	,2	,0.4	,0.6	,0.8	,1.1	,-	,1	,1	,7.15
Wilfried Singo,"Monaco, ",23,",  D(CR),M(R)  ",24(1),2187	,1	,1	,0.8	,0.6	,1.2	,1.5	,0.1	,0.3	,0.7	,7.15
Gianluigi Donnarumma,"PSG, ",25,",  GK  ",25,2170	,-	,-	,-	,-	,-	,-	,-	,-	,-	,7.14
Florian Sotoca,"Lens, ",33,",  M(CR),FW  ",29(3),2603	,7	,6	,2.2	,1.6	,0.6	,1.3	,0.4	,1	,1.5	,7.13
Pierre-Emerick Aubameyang,"Marseille, ",35,",  M(CLR),FW  ",30(4),2628	,17	,8	,3.4	,0.8	,0.5	,0.6	,0.6	,0.6	,1.2	,7.09
Junya Ito,"Reims, ",31,",  M(LR),FW  ",31,2722	,3	,7	,1.5	,2.6	,1.7	,1	,0.6	,1.2	,2.3	,7.09
Benjamin André,"Lille, ",33,",  D(R),M(CLR)  ",29(1),2575	,4	,-	,0.8	,0.6	,0.3	,1.4	,-	,0.7	,1	,7.08
Bradley Locko,"Brest, ",22,",  D(L),M(L)  ",33,2961	,-	,3	,0.4	,0.7	,1.7	,1.3	,-	,0.8	,2.1	,7.07
Alexandre Lacazette,"Lyon, ",33,",  M(CLR),FW  ",27(2),2308	,19	,2	,2.1	,0.7	,0.8	,1.2	,0.4	,1.3	,1.9	,7.07
Jérémie Boga,"Nice, ",27,",  AM(CLR),FW  ",24(4),2011	,6	,6	,1.4	,1.2	,2.3	,0.9	,0.3	,1	,1.5	,7.06
Jonathan David,"Lille, ",24,",  AM(C),FW  ",30(4),2641	,19	,4	,2.3	,0.9	,0.4	,1.6	,0.4	,1.3	,1.6	,7.05
Christopher Opéri,"Le Havre, ",27,",  D(L),M(L)  ",28,2447	,3	,4	,0.8	,1.6	,1	,0.6	,-	,0.8	,1.1	,7.05
Youssouf Fofana,"Monaco, ",25,",  DMC  ",31(1),2703	,4	,4	,1.6	,1.3	,1.2	,1	,-	,1	,1.5	,7.03
Maxence Caqueret,"Lyon, ",24,",  M(C)  ",34,3025	,1	,3	,0.7	,1.7	,1.5	,0.9	,-	,1.3	,1.6	,7.02
Teddy Teuma,"Reims, ",30,",  AM(C)  ",25(3),2125	,6	,3	,1.6	,1.5	,1	,1.1	,-	,0.6	,1.5	,7.01
Vanderson,"Monaco, ",23,",  D(R),M(R)  ",20,1649	,3	,1	,1.5	,1	,0.9	,0.9	,0.1	,0.7	,1.3	,7.01
Achraf Hakimi,"PSG, ",25,",  D(LR),M(R)  ",20(5),1931	,4	,5	,1.7	,1.7	,1.1	,1	,0.1	,1.3	,1.3	,7.00
Leonardo Balerdi,"Marseille, ",25,",  D(C)  ",26(1),2275	,2	,-	,0.5	,0.2	,0.3	,0.9	,-	,0.4	,0.6	,7.00
Kenny Lala,"Brest, ",32,",  D(LR),M(R)  ",33,2970	,2	,3	,0.4	,1.1	,0.6	,0.8	,-	,0.4	,0.6	,6.97
Tiago Santos,"Lille, ",21,",  D(R)  ",26(3),2364	,1	,2	,1.1	,0.9	,1.9	,3	,-	,0.9	,1.5	,6.96
Brendan Chardonnet,"Brest, ",29,",  D(C)  ",33,2970	,1	,1	,0.5	,0.3	,0.1	,0.7	,-	,0.1	,0.5	,6.95
Jonathan Clauss,"Marseille, ",31,",  D(R),M(LR)  ",25(2),2072	,3	,4	,1	,1.7	,0.7	,0.6	,0.1	,0.3	,1.4	,6.95
Joseph Okumu,"Reims, ",27,",  D(C)  ",19(2),1743	,1	,-	,0.5	,-	,0.3	,0.8	,-	,0.2	,0.6	,6.95
Lee Kang-In,"PSG, ",23,",  M(CLR),FW  ",18(5),1472	,3	,4	,1	,1.2	,1.1	,1	,-	,0.7	,0.7	,6.94
Bradley Barcola,"PSG, ",21,",  AM(LR),FW  ",18(7),1381	,4	,7	,1.2	,1.2	,1.8	,0.5	,0.2	,0.4	,1.8	,6.94
Wissam Ben Yedder,"Monaco, ",33,",  AM(C),FW  ",26(6),2323	,16	,2	,2	,1.2	,0.5	,0.6	,1	,1.2	,1.5	,6.94
Marco Asensio,"PSG, ",28,",  AM(CLR),FW  ",13(6),1114	,4	,5	,1.4	,1.7	,0.5	,0.5	,-	,0.5	,0.7	,6.93
Matthieu Udol,"Metz, ",28,",  D(CL),M(L)  ",30,2700	,3	,3	,0.6	,1.1	,0.7	,0.7	,-	,0.4	,0.9	,6.92
