Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Kylian Mbappé,"PSG, ",25,",  AM(CLR),FW  ",24(5),2160	,7	,1.4	,32.1	,85.2	,0.1	,1.3	,0.2	,7.71
Romain Del Castillo,"Brest, ",28,",  AM(CLR),FW  ",30(3),2522	,8	,2.7	,35.4	,75.3	,2.1	,1.4	,0.1	,7.35
Aleksandr Golovin,"Monaco, ",28,",  M(CLR)  ",25,2155	,6	,2	,44.1	,80.7	,1.4	,2.6	,0.3	,7.30
Téji Savanier,"Montpellier, ",32,",  M(C)  ",32,2777	,6	,2.8	,50.8	,75.8	,1.9	,6.2	,0.1	,7.28
Ousmane Dembélé,"PSG, ",27,",  AM(CLR),FW  ",17(9),1510	,8	,2.3	,36	,81.8	,0.9	,1.2	,0.2	,7.28
Vitinha,"PSG, ",24,",  M(C)  ",23(5),2130	,4	,1.3	,64.3	,91.3	,0.3	,2.7	,0.2	,7.23
Pierre Lees-Melou,"Brest, ",31,",  M(CLR)  ",29,2521	,-	,0.9	,56.4	,86.5	,0.2	,6.6	,0.1	,7.22
Georges Mikautadze,"Metz, ",23,",  FW  ",20,1755	,4	,1.1	,19.4	,74.7	,0.3	,0.5	,0.1	,7.17
Edon Zhegrova,"Lille, ",25,",  AM(R)  ",25(8),2299	,6	,1.4	,25.5	,82.6	,1.3	,0.5	,-	,7.15
Manuel Ugarte,"PSG, ",23,",  DMC  ",21(4),1935	,2	,0.6	,53	,91.5	,-	,2.4	,0.1	,7.15
Wilfried Singo,"Monaco, ",23,",  D(CR),M(R)  ",24(1),2187	,1	,0.6	,57.3	,87.2	,0.2	,3.6	,-	,7.15
Gianluigi Donnarumma,"PSG, ",25,",  GK  ",25,2170	,-	,-	,26.3	,87.1	,-	,2.3	,-	,7.14
Florian Sotoca,"Lens, ",33,",  M(CR),FW  ",29(3),2603	,6	,1.6	,40.2	,77.5	,0.8	,1.4	,0.3	,7.13
Pierre-Emerick Aubameyang,"Marseille, ",35,",  M(CLR),FW  ",30(4),2628	,8	,0.8	,17.9	,70.8	,0.3	,0.1	,-	,7.09
Junya Ito,"Reims, ",31,",  M(LR),FW  ",31,2722	,7	,2.6	,29	,73.4	,1.9	,1.2	,0.2	,7.09
Benjamin André,"Lille, ",33,",  D(R),M(CLR)  ",29(1),2575	,-	,0.6	,63.1	,84.3	,0.1	,2.3	,-	,7.08
Bradley Locko,"Brest, ",22,",  D(L),M(L)  ",33,2961	,3	,0.7	,44.8	,85.5	,0.9	,2.3	,-	,7.07
Alexandre Lacazette,"Lyon, ",33,",  M(CLR),FW  ",27(2),2308	,2	,0.7	,18.8	,72.4	,0.1	,0.6	,0.1	,7.07
Jérémie Boga,"Nice, ",27,",  AM(CLR),FW  ",24(4),2011	,6	,1.2	,23.4	,84.8	,0.8	,0.6	,0.1	,7.06
Jonathan David,"Lille, ",24,",  AM(C),FW  ",30(4),2641	,4	,0.9	,19.1	,82.7	,-	,0.1	,-	,7.05
Christopher Opéri,"Le Havre, ",27,",  D(L),M(L)  ",28,2447	,4	,1.6	,41	,76.8	,2.2	,1.5	,-	,7.05
Youssouf Fofana,"Monaco, ",25,",  DMC  ",31(1),2703	,4	,1.3	,54.9	,82.2	,0.1	,2	,0.2	,7.03
Maxence Caqueret,"Lyon, ",24,",  M(C)  ",34,3025	,3	,1.7	,56.1	,85.6	,0.6	,2.3	,0.2	,7.02
Teddy Teuma,"Reims, ",30,",  AM(C)  ",25(3),2125	,3	,1.5	,48.2	,83.5	,1.4	,2.3	,0.1	,7.01
Vanderson,"Monaco, ",23,",  D(R),M(R)  ",20,1649	,1	,1	,40.5	,76.5	,0.3	,2.1	,-	,7.01
Achraf Hakimi,"PSG, ",25,",  D(LR),M(R)  ",20(5),1931	,5	,1.7	,69.5	,88.7	,0.7	,1.6	,-	,7.00
Leonardo Balerdi,"Marseille, ",25,",  D(C)  ",26(1),2275	,-	,0.2	,59.9	,86.5	,-	,3.7	,-	,7.00
Kenny Lala,"Brest, ",32,",  D(LR),M(R)  ",33,2970	,3	,1.1	,52.6	,81.9	,1.2	,6	,-	,6.97
Tiago Santos,"Lille, ",21,",  D(R)  ",26(3),2364	,2	,0.9	,38.1	,83.2	,0.6	,1.8	,-	,6.96
Brendan Chardonnet,"Brest, ",29,",  D(C)  ",33,2970	,1	,0.3	,54.7	,83.3	,0.2	,4.5	,-	,6.95
Jonathan Clauss,"Marseille, ",31,",  D(R),M(LR)  ",25(2),2072	,4	,1.7	,42.9	,79.9	,1.6	,1.4	,-	,6.95
Joseph Okumu,"Reims, ",27,",  D(C)  ",19(2),1743	,-	,-	,61	,82.7	,-	,6	,-	,6.95
Lee Kang-In,"PSG, ",23,",  M(CLR),FW  ",18(5),1472	,4	,1.2	,39.3	,89.4	,0.9	,1.1	,0.1	,6.94
Bradley Barcola,"PSG, ",21,",  AM(LR),FW  ",18(7),1381	,7	,1.2	,21.5	,80.4	,0.1	,0.2	,0.1	,6.94
Wissam Ben Yedder,"Monaco, ",33,",  AM(C),FW  ",26(6),2323	,2	,1.2	,23	,74.5	,0.1	,0.4	,0.2	,6.94
Marco Asensio,"PSG, ",28,",  AM(CLR),FW  ",13(6),1114	,5	,1.7	,31.2	,88.4	,0.7	,0.6	,0.1	,6.93
Matthieu Udol,"Metz, ",28,",  D(CL),M(L)  ",30,2700	,3	,1.1	,32.9	,78.1	,0.6	,1.4	,0.1	,6.92
Anthony Lopes,"Lyon, ",33,",  GK  ",31,2790	,-	,-	,28.4	,70.4	,-	,5.7	,-	,6.92
Takumi Minamino,"Monaco, ",29,",  AM(CLR),FW  ",25(5),2128	,6	,1.1	,27.8	,75.9	,0.1	,0.6	,0.2	,6.92
Gonçalo Ramos,"PSG, ",23,",  AM(C),FW  ",16(13),1422	,1	,0.6	,13.5	,77.3	,-	,0.1	,0.1	,6.91
