Name,Value
Karamoko Dembélé,€900k  
Akim Zedadka,€2.00m  
Konrad de la Fuente,€800k  
Nicolas Mercier,€300k  
Gabriel Moscardo,€15.00m  
Yanis Zouaoui,€600k  
Robin Risser,€500k  
Dany Jean,€350k  
Mamadou Camara,€200k  
Lamine Diack,€1.20m  
Óscar Perea,€2.00m  
Himad Abdelli,€4.00m  
Gautier Larsonneur,€4.00m  
Yahia Fofana,€3.50m  
Gauthier Hein,€3.00m  
Gaëtan Perrin,€3.00m  
Elisha Owusu,€2.50m  
Gideon Mensah,€2.50m  
Benjamin Bouchouari,€2.50m  
Lassine Sinayoko,€2.50m  
Mathieu Cafaro,€2.50m  
Ibrahim Sissoko,€2.50m  
Jubal,€2.00m  
Rayan Raveloson,€2.00m  
Amine Salama,€2.00m  
Dylan Batubinsika,€2.00m  
Yvann Maçon,€2.00m  
Loïs Diony,€2.00m  
Jubal,€2.00m  
Rayan Raveloson,€2.00m  
Ado Onaiwu,€1.80m  
Florian Ayé,€1.80m  
Paul Joly,€1.80m  
Cédric Hountondji,€1.80m  
Zinedine Ferhat,€1.50m  
Anthony Briançon,€1.50m  
Farid El Melali,€1.50m  
Ayoub Amraoui,€1.50m  
Lamine Fomba,€1.20m  
Colin Dagba,€1.20m  
Martin Adeline,€1.00m  
Léo Pétrot,€1.00m  
Théo Pellenard,€1.00m  
Dennis Appiah,€1.00m  
Florian Tardieu,€1.00m  
Ibrahima Wadji,€1.00m  
Rémy Labeau Lascary,€1.00m  
Nordine Kandil,€1.00m  
Jordan Lefort,€1.00m  
Ibrahima Niane,€1.00m  
Assane Dioussé,€900k  
François Mughe,€800k  
Mamady Bangré,€800k  
Justin-Noël Kalumba,€800k  
Lilian Raolisoa,€800k  
Esteban Lepaul,€800k  
Issa Soumaré,€800k  
Clément Akpa,€800k  
Etienne Green,€700k  
Ousmane Camara,€700k  
Adrien Hunou,€700k  
Saad Agouzoul,€700k  
Hianga'a Mbock,€700k  
Taïryk Arconte,€700k  
Mohamed Jaouab,€600k  
Nassim Chadli,€600k  
Ousmane Camara,€600k  
Louis Mouton,€600k  
Joseph Lopy,€500k  
Donovan Léon,€500k  
Abdoulaye Bamba,€400k  
Junior Diaz,€400k  
Gabriel Barès,€400k  
Kandet Diawara,€400k  
Thomas Monconduit,€400k  
Zinédine Ould Khaled,€400k  
Mahmoud Bentayg,€400k  
Florent Hanin,€350k  
