Name,Value
Thomas Perchaud,€75k  
Williams Kokolo,€175k  
Lamine Jarjou,€100k  
Johaneko Louis-Jean,€300k  
Loup-Diwan Gueho,€150k  
Henri Dupays,€25k  
Taofeek Ismaheel,€600k  
Ange Chibozo,€250k  
William Bianda,€200k  
Ouparine Djoco,€200k  
Moise Adilehou,€200k  
Geoffrey Kondo,€125k  
Guiry Egny,€100k  
Merwan Ifnaoui,€800k  
Alan Kerouedan,€600k  
Amine Hemia,€600k  
Lamine Sy,€600k  
Ryad Hachem,€600k  
Léandro Morante,€600k  
Blondon Meyapya,€600k  
Quentin Beunardeau,€500k  
Samuel Renel,€500k  
Kévin Zohi,€500k  
Allan Ackra,€500k  
Loïc Kouagba,€400k  
Hacène Benali,€400k  
Kemo Cissé,€400k  
Alain Ipiélé,€400k  
Antoine Mille,€400k  
Lamine Cissé,€400k  
Damien Durand,€400k  
Gustave Akueson,€400k  
Joachim Eickmayer,€400k  
Loni Quenabio,€350k  
Fodé Doucouré,€350k  
Ivann Botella,€350k  
Ilyes Najim,€350k  
Romain Montiel,€300k  
Raphaël Calvet,€300k  
Julien Kouadio,€300k  
Axel Drouhin,€300k  
Ousmane Ba,€300k  
Milan Robin,€300k  
Kévin Farade,€250k  
Fred Dembi,€250k  
Achille Anani,€250k  
Loïc Etoga,€250k  
Bissenty Mendy,€250k  
Jovany Ikanga,€250k  
Samir Belloumou,€200k  
Zakaria Bengueddoudj,€200k  
Francis Kembolo,€200k  
Karim Tlili,€200k  
Morgan Bokele,€200k  
Rayane Doucouré,€200k  
Oualid Orinel,€150k  
Mathis Touho,€150k  
Yanis Hadjem,€100k  
Ivane Chegra,€150k  
Aniss El Hriti,€100k  
Ghjuvanni Quilichini,€100k  
Foued Kadir,€100k  
Othmane Chraibi,€100k  
Jérémy Aymes,€150k  
Alioune Fall,€100k  
William Avognan,€100k  
Abdoul Diawara,€100k  
Rayan Slimani,€50k  
Steevy Mazikou,€50k  
Pépé Bonet,€50k  
Alexandre Mendy,€4.00m  
Brahim Traoré,€3.50m  
Ilan Kebbal,€3.00m  
Pedro Díaz,€2.50m  
Anthony Mandréa,€2.00m  
Tim Jabol-Folcarelli,€2.00m  
Mamadou Fofana,€1.80m  
Killian Corredor,€1.80m  
Andreas Hountondji,€1.80m  
Malcom Bokele,€1.80m  
Antoine Leautey,€1.50m  
Alberth Elis,€1.50m  
Obed Nkambadio,€1.50m  
Sambou Soumano,€1.50m  
Jérémy Livolant,€1.50m  
Ali Abdi,€1.50m  
Vincent Marchetti,€1.50m  
Hamza Sakhi,€1.50m  
Louis Mafouta,€1.50m  
Yoann Barbet,€1.50m  
Danylo Ignatenko,€1.50m  
Noé Lebreton,€1.50m  
Stéphane Diarra,€1.20m  
Amin Cherni,€1.20m  
Owen Gene,€1.20m  
Godson Kyeremeh,€1.20m  
Clément Michelin,€1.20m  
Dylan Louiserre,€1.20m  
Tom Ducrocq,€1.20m  
Gaël Kakuta,€1.20m  
Moustapha Mbow,€1.00m  
Enzo Bardeli,€1.00m  
Gessime Yassine,€1.00m  
Jessy Benet,€1.00m  
Simon Elisor,€1.00m  
Jules Gaudin,€1.00m  
Frank Boya,€1.00m  
Kylian Kaïboue,€1.00m  
Thibaut Vargas,€1.00m  
Clément Vidal,€1.00m  
Samir Chergui,€1.00m  
Yoan Koré,€1.00m  
Bradley Danger,€1.00m  
Hugo Picard,€1.00m  
Jean Ruiz,€1.00m  
Giovanni Haag,€1.00m  
Siriné Doucouré,€1.00m  
Pablo Pagis,€1.00m  
Tidiam Gomis,€1.00m  
Sam Sanna,€1.00m  
Mathys Tourraine,€1.00m  
Yllan Okou,€900k  
Jocelyn Janneh,€900k  
Gaby Jean,€900k  
Bilal Brahimi,€900k  
Dante Rigo,€900k  
Kalidou Sidibé,€900k  
Mamadou Diarra,€900k  
Pape Meïssa Ba,€900k  
Enzo Basilio,€800k  
Mehdi Merghem,€800k  
Migouel Alfarela,€800k  
Jordy Gaspar,€800k  
Amine Sbaï,€800k  
Alexi Pitu,€800k  
Amadou Sagna,€800k  
Bingourou Kamara,€800k  
Julien Maggiotti,€800k  
Waniss Taïbi,€800k  
Théo Valls,€800k  
Jean Marcelin,€800k  
Adama Camara,€800k  
Kouadio-Yves Dabila,€800k  
Cyrille Bayala,€700k  
Lenny Joseph,€700k  
Julien Anziani,€700k  
Lohann Doucet,€700k  
