Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Bukayo Saka,"Arsenal, ",22,",  D(L),M(CLR)  ",35,2937	,16	,9	,3.1	,2.6	,1.4	,2	,0.2	,1.5	,1.6	,7.67
Rodri,"Man City, ",28,",  D(C),DMC  ",34,2937	,8	,9	,1.8	,1.4	,1.2	,1	,0.2	,0.9	,0.7	,7.62
Michael Olise,"Crystal Palace, ",22,",  AM(CLR)  ",14(5),1277	,10	,6	,3	,1.9	,2.1	,2.3	,0.1	,1.7	,2.2	,7.61
Phil Foden,"Man City, ",24,",  AM(CLR),FW  ",33(2),2869	,19	,8	,3	,2.1	,1.3	,1.7	,0.1	,1.4	,1.8	,7.55
Cole Palmer,"Chelsea, ",22,",  AM(CR),FW  ",29(4),2618	,22	,11	,3.3	,2.2	,1.6	,0.8	,0.2	,1.3	,1.7	,7.48
Eberechi Eze,"Crystal Palace, ",26,",  AM(CLR)  ",24(3),2064	,11	,4	,3.1	,2	,2.6	,1.8	,0.4	,1.8	,2.9	,7.45
Erling Haaland,"Man City, ",23,",  FW  ",29(2),2559	,27	,5	,3.9	,0.9	,0.4	,1	,0.2	,0.6	,1.3	,7.40
Bruno Fernandes,"Man Utd, ",29,",  M(CLR),FW  ",35,3120	,10	,8	,2.7	,3.3	,0.5	,0.8	,0.4	,1	,1.4	,7.39
Declan Rice,"Arsenal, ",25,",  D(C),DMC  ",37(1),3232	,7	,8	,1.5	,1.2	,0.6	,0.3	,0.1	,0.6	,0.8	,7.38
Bruno Guimarães,"Newcastle, ",26,",  DMC  ",37,3269	,7	,8	,1.3	,1.7	,1.9	,2.9	,-	,1.9	,1.6	,7.37
Martin Ødegaard,"Arsenal, ",25,",  AM(CR)  ",35,3104	,8	,10	,2.2	,2.9	,1.1	,1	,0.1	,1.7	,1.5	,7.37
Son Heung-Min,"Tottenham, ",32,",  M(CLR),FW  ",34(1),2948	,17	,10	,2.4	,1.9	,1.1	,1.1	,0.6	,1.2	,1.6	,7.30
Anthony Gordon,"Newcastle, ",23,",  AM(CLR),FW  ",34(1),2906	,11	,10	,2.3	,1.6	,1.5	,1.9	,0.2	,1.1	,2	,7.29
Ollie Watkins,"Aston Villa, ",28,",  AM(LR),FW  ",37,3227	,19	,13	,2.9	,1.2	,0.7	,1.1	,0.4	,1.5	,2.1	,7.27
Jérémy Doku,"Man City, ",22,",  M(LR)  ",18(11),1596	,3	,8	,1.9	,1.6	,3	,1.1	,0.2	,1.3	,1.8	,7.24
Mohamed Salah,"Liverpool, ",32,",  AM(CLR),FW  ",28(4),2536	,18	,10	,3.6	,2.1	,0.8	,0.8	,0.5	,1.8	,2.4	,7.24
Mohammed Kudus,"West Ham, ",23,",  M(CLR),FW  ",27(6),2488	,8	,6	,2	,0.8	,3.8	,2.3	,0.5	,2.8	,2.4	,7.23
James Maddison,"Tottenham, ",27,",  AM(CLR)  ",26(2),2155	,4	,9	,2.1	,2.4	,1.1	,2.6	,0.1	,1.2	,1.3	,7.17
Kai Havertz,"Arsenal, ",25,",  M(CR),FW  ",30(7),2641	,13	,7	,1.9	,1.2	,0.4	,1.2	,0.4	,0.9	,1.5	,7.16
Bernardo Silva,"Man City, ",29,",  M(CLR),FW  ",29(4),2582	,6	,9	,1	,1.9	,1.2	,0.8	,0.1	,1	,1.3	,7.15
Virgil van Dijk,"Liverpool, ",33,",  D(C)  ",36,3178	,2	,2	,1.3	,0.3	,0.1	,0.4	,-	,0.1	,0.2	,7.15
Alexander Isak,"Newcastle, ",24,",  AM(L),FW  ",27(3),2267	,21	,2	,2.6	,0.9	,1.4	,0.5	,0.6	,0.8	,1.6	,7.14
Pascal Groß,"Brighton, ",33,",  D(LR),M(CR),FW  ",34(2),3114	,4	,10	,1.5	,2.9	,0.4	,0.8	,0.1	,0.8	,1	,7.13
Conor Gallagher,"Chelsea, ",24,",  M(CL)  ",37,3137	,5	,7	,1.3	,1.4	,1	,1.7	,-	,1.1	,1.9	,7.13
Matheus Cunha,"Wolves, ",25,",  AM(CL),FW  ",29(3),2454	,12	,7	,2.3	,0.9	,2	,1.6	,0.1	,1.7	,2.5	,7.13
Andy Robertson,"Liverpool, ",30,",  D(L),M(L)  ",18(5),1693	,3	,2	,0.5	,2.7	,0.2	,0.2	,0.1	,0.3	,0.8	,7.12
Trent Alexander-Arnold,"Liverpool, ",25,",  D(R),DMC,M(R)  ",25(3),2161	,3	,4	,1.7	,2.3	,1	,0.3	,0.1	,0.2	,1	,7.12
Julián Álvarez,"Man City, ",24,",  AM(CR),FW  ",31(5),2660	,11	,9	,2.7	,1.9	,0.6	,0.4	,0.1	,1	,1.6	,7.10
Jarrod Bowen,"West Ham, ",27,",  AM(CLR),FW  ",34,3021	,16	,6	,2.5	,0.9	,1	,1.2	,0.6	,1.7	,2.3	,7.10
Diogo Jota,"Liverpool, ",27,",  AM(CLR),FW  ",14(7),1151	,10	,3	,2	,1	,0.7	,1	,0.1	,0.9	,2	,7.09
Alexis Mac Allister,"Liverpool, ",25,",  M(CL),FW  ",31(2),2612	,5	,5	,1.3	,1.4	,0.5	,1.4	,-	,1.1	,0.9	,7.09
Luis Díaz,"Liverpool, ",27,",  AM(LR)  ",32(5),2646	,8	,5	,2.5	,1.7	,1.8	,1.1	,0.5	,1.9	,1.9	,7.09
James Tarkowski,"Everton, ",31,",  D(C)  ",38,3420	,1	,1	,0.7	,0.6	,0.4	,0.7	,-	,0.4	,0.4	,7.08
Nicolas Jackson,"Chelsea, ",23,",  FW  ",31(4),2810	,14	,5	,2.3	,1.1	,1.5	,1.1	,0.8	,1.9	,2.5	,7.07
