Name,Value
Ronnie Edwards,€3.80m  
Louie Moulden,€175k  
Marc Guiu,€7.50m  
Eric da Silva Moreira,€1.00m  
Luis Guilherme,€24.00m  
Carlos Miguel,€4.00m  
Pedro Lima,€2.50m  
Lucas Bergvall,€10.00m  
Lucas Bergström,€700k  
Mateusz Lis,€1.60m  
Ibrahim Osman,€12.00m  
Kosta Nedeljkovic,€8.00m  
Mason Greenwood,€25.00m  
Jørgen Strand Larsen,€25.00m  
Yan Couto,€25.00m  
João Cancelo,€25.00m  
Chadi Riad,€15.00m  
Gonçalo Guedes,€15.00m  
Boubakary Soumaré,€14.00m  
Kieran Tierney,€12.00m  
Kepa Arrizabalaga,€12.00m  
Máximo Perrone,€9.00m  
Alejo Véliz,€9.00m  
Hannibal,€9.00m  
Facundo Pellistri,€8.00m  
Yerson Mosquera,€6.00m  
Rodrigo Gomes,€12.00m  
Chiquinho,€3.00m  
Romelu Lukaku,€30.00m  
Daichi Kamada,€18.00m  
Hamed Junior Traorè,€17.00m  
Carlos Alcaraz,€15.00m  
Victor Kristiansen,€15.00m  
Samuel Iling-Junior,€13.00m  
Caleb Okoli,€8.00m  
Djed Spence,€8.00m  
Enzo Barrenechea,€7.50m  
Leander Dendoncker,€7.00m  
Igor Thiago,€25.00m  
Gabriel Slonina,€4.00m  
Malcolm Ebiowei,€1.50m  
Jonathan Panzo,€1.20m  
Andrey Santos,€15.00m  
Ângelo,€15.00m  
Iliman Ndiaye,€15.00m  
Mats Wieffer,€30.00m  
Yankuba Minteh,€16.00m  
Armel Bella-Kotchap,€12.00m  
Kacper Kozlowski,€5.00m  
Adrian Mazilu,€2.50m  
Garang Kuol,€600k  
Paul Onuachu,€13.00m  
Joe Worrall,€7.50m  
Carlos Vinícius,€4.00m  
Jonjo Shelvey,€2.60m  
Ui-jo Hwang,€1.80m  
Alisson,€28.00m  
Daniel Podence,€13.00m  
Fábio Silva,€11.00m  
Abdallah Sima,€7.50m  
Omar Richards,€2.50m  
Will Dennis,€350k  
Corrie Ndaba,€350k  
Ian Maatsen,€40.00m  
Jadon Sancho,€30.00m  
Deniz Undav,€25.00m  
Sepp van den Berg,€12.00m  
Mahmoud Dahoud,€6.00m  
Donny van de Beek,€5.00m  
Sasa Kalajdzic,€5.00m  
Kevin Mbabu,€4.00m  
Alex Paulsen,€450k  
Erling Haaland,€180.00m  
Phil Foden,€150.00m  
Bukayo Saka,€140.00m  
Rodri,€120.00m  
Declan Rice,€120.00m  
Martin Ødegaard,€110.00m  
Julián Álvarez,€90.00m  
Bruno Guimarães,€85.00m  
Rúben Dias,€80.00m  
William Saliba,€80.00m  
Cole Palmer,€80.00m  
Moisés Caicedo,€75.00m  
Josko Gvardiol,€75.00m  
Alexis Mac Allister,€75.00m  
Enzo Fernández,€75.00m  
Alexander Isak,€75.00m  
Dominik Szoboszlai,€75.00m  
Luis Díaz,€75.00m  
Kai Havertz,€70.00m  
Gabriel Magalhães,€70.00m  
Trent Alexander-Arnold,€70.00m  
Bruno Fernandes,€70.00m  
Darwin Núñez,€70.00m  
James Maddison,€70.00m  
Gabriel Martinelli,€70.00m  
Bernardo Silva,€70.00m  
Jérémy Doku,€65.00m  
Lucas Paquetá,€65.00m  
Gabriel Jesus,€65.00m  
Ollie Watkins,€65.00m  
Christopher Nkunku,€65.00m  
Cristian Romero,€60.00m  
Marcus Rashford,€60.00m  
Anthony Gordon,€60.00m  
Jack Grealish,€60.00m  
João Palhinha,€55.00m  
Pedro Neto,€55.00m  
Eberechi Eze,€55.00m  
Mohamed Salah,€55.00m  
Ben White,€55.00m  
Dejan Kulusevski,€55.00m  
Micky van de Ven,€55.00m  
Moussa Diaby,€55.00m  
Amadou Onana,€50.00m  
Evan Ferguson,€50.00m  
Diogo Jota,€50.00m  
Kobbie Mainoo,€50.00m  
Mohammed Kudus,€50.00m  
Cody Gakpo,€50.00m  
Levi Colwill,€50.00m  
Matheus Nunes,€50.00m  
Jarrod Bowen,€50.00m  
Brennan Johnson,€48.00m  
Sven Botman,€45.00m  
Matheus Cunha,€45.00m  
Pedro Porro,€45.00m  
Pau Torres,€45.00m  
Pape Matar Sarr,€45.00m  
Kaoru Mitoma,€45.00m  
Lisandro Martínez,€45.00m  
Alejandro Garnacho,€45.00m  
Manuel Akanji,€45.00m  
Destiny Udogie,€45.00m  
Heung-min Son,€45.00m  
Ibrahima Konaté,€45.00m  
João Pedro,€45.00m  
Jarrad Branthwaite,€42.00m  
Leon Bailey,€42.00m  
Axel Disasi,€40.00m  
Dominic Solanke,€40.00m  
Bryan Mbeumo,€40.00m  
Joelinton,€40.00m  
Nathan Aké,€40.00m  
Morgan Gibbs-White,€40.00m  
Reece James,€40.00m  
John Stones,€38.00m  
Rico Lewis,€38.00m  
Boubacar Kamara,€38.00m  
Jurrien Timber,€38.00m  
Sandro Tonali,€38.00m  
Richarlison,€38.00m  
Oleksandr Zinchenko,€38.00m  
Marc Guéhi,€38.00m  
Guglielmo Vicario,€35.00m  
Harvey Barnes,€35.00m  
Rayan Aït-Nouri,€35.00m  
Ederson,€35.00m  
Yves Bissouma,€35.00m  
Curtis Jones,€35.00m  
Ryan Gravenberch,€35.00m  
Cheick Doucouré,€35.00m  
Diogo Dalot,€35.00m  
Nayef Aguerd,€35.00m  
Edson Álvarez,€35.00m  
Joachim Andersen,€35.00m  
André Onana,€35.00m  
Mykhaylo Mudryk,€35.00m  
Mason Mount,€35.00m  
Malo Gusto,€35.00m  
Tino Livramento,€35.00m  
Ezri Konsa,€35.00m  
Takehiro Tomiyasu,€35.00m  
Nicolas Jackson,€35.00m  
Harvey Elliott,€35.00m  
Rodrigo Bentancur,€35.00m  
João Gomes,€35.00m  
Raheem Sterling,€35.00m  
Leandro Trossard,€35.00m  
David Raya,€35.00m  
Murillo,€35.00m  
Jacob Ramsey,€35.00m  
Roméo Lavia,€35.00m  
Ilya Zabarnyi,€32.00m  
Max Kilman,€32.00m  
Luke Shaw,€32.00m  
Scott McTominay,€32.00m  
Ibrahim Sangaré,€30.00m  
Adam Wharton,€30.00m  
Mateo Kovacic,€30.00m  
Andrew Robertson,€30.00m  
Benoît Badiashile,€30.00m  
James Ward-Prowse,€30.00m  
Joe Willock,€30.00m  
Pervis Estupiñán,€30.00m  
Virgil van Dijk,€30.00m  
Simon Adingra,€30.00m  
Eddie Nketiah,€30.00m  
Taiwo Awoniyi,€28.00m  
Vitaliy Mykolenko,€28.00m  
Danilo,€28.00m  
Emiliano Martínez,€28.00m  
Joe Gomez,€28.00m  
Mathias Jensen,€28.00m  
Yoane Wissa,€28.00m  
Matty Cash,€28.00m  
Aaron Hickey,€28.00m  
Ben Chilwell,€28.00m  
Noni Madueke,€28.00m  
Youri Tielemans,€25.00m  
Nathan Collins,€25.00m  
Alex Iwobi,€25.00m  
Marc Cucurella,€25.00m  
Wesley Fofana,€25.00m  
Radu Drăgușin,€25.00m  
Aaron Ramsdale,€25.00m  
Antonee Robinson,€25.00m  
Kalvin Phillips,€25.00m  
Oscar Bobb,€25.00m  
Antony,€25.00m  
Jordan Pickford,€22.00m  
Dominic Calvert-Lewin,€22.00m  
Kevin Schade,€22.00m  
Marcos Senesi,€22.00m  
Emile Smith Rowe,€22.00m  
Julio Enciso,€22.00m  
Carlos Baleba,€22.00m  
Philip Billing,€22.00m  
Dwight McNeil,€22.00m  
Anthony Elanga,€22.00m  
Konstantinos Tsimikas,€22.00m  
Lewis Miley,€22.00m  
Jarell Quansah,€22.00m  
James Garner,€22.00m  
Armando Broja,€22.00m  
Emiliano Buendía,€22.00m  
Fábio Vieira,€22.00m  
Vitaly Janelt,€22.00m  
Adam Webster,€20.00m  
Casemiro,€20.00m  
Caoimhín Kelleher,€20.00m  
Issa Diop,€20.00m  
Rodrigo Muniz,€20.00m  
Robert Sánchez,€20.00m  
Jefferson Lerma,€20.00m  
Jean-Philippe Mateta,€20.00m  
Jhon Durán,€20.00m  
Marcus Tavernier,€20.00m  
Milos Kerkez,€20.00m  
Dango Ouattara,€20.00m  
Konstantinos Mavropanos,€20.00m  
Rico Henry,€20.00m  
Djordje Petrovic,€20.00m  
Aaron Wan-Bissaka,€20.00m  
Beto,€20.00m  
Toti,€20.00m  
Andreas Pereira,€20.00m  
Miguel Almirón,€20.00m  
Alex Scott,€20.00m  
Tosin Adarabioyo,€20.00m  
Emerson Royal,€18.00m  
Enes Ünal,€18.00m  
Thomas Partey,€18.00m  
Daniel Muñoz,€18.00m  
Tyrell Malacia,€18.00m  
Amad Diallo,€18.00m  
Facundo Buonanotte,€18.00m  
Christian Nørgaard,€18.00m  
Lloyd Kelly,€18.00m  
Lewis Hall,€18.00m  
Callum Hudson-Odoi,€18.00m  
Bart Verbruggen,€18.00m  
Odsonne Edouard,€18.00m  
Solly March,€18.00m  
Jan Paul van Hecke,€18.00m  
Pierre-Emile Højbjerg,€18.00m  
Billy Gilmour,€18.00m  
Igor,€17.00m  
Timo Werner,€17.00m  
Timothy Castagne,€17.00m  
Luis Sinisterra,€17.00m  
Harry Wilson,€17.00m  
Nicolás Domínguez,€17.00m  
Neco Williams,€17.00m  
Jack Hinshelwood,€16.00m  
Giovani Lo Celso,€16.00m  
Calvin Bassey,€16.00m  
Max Aarons,€16.00m  
Diego Carlos,€16.00m  
Nick Pope,€16.00m  
Harrison Reed,€15.00m  
Victor Lindelöf,€15.00m  
Conor Bradley,€15.00m  
Nuno Tavares,€15.00m  
Tyler Adams,€15.00m  
Oliver Skipp,€15.00m  
Kristoffer Ajer,€15.00m  
Jean-Ricner Bellegarde,€15.00m  
Keane Lewis-Potter,€15.00m  
Nathan Patterson,€15.00m  
Romain Faivre,€15.00m  
Reiss Nelson,€15.00m  
Kenny Tete,€15.00m  
Elliot Anderson,€15.00m  
Morgan Rogers,€15.00m  
Matheus França,€15.00m  
Albert Sambi Lokonga,€15.00m  
Carney Chukwuemeka,€15.00m  
Jacob Murphy,€15.00m  
José Sá,€14.00m  
Bryan Gil,€14.00m  
Justin Kluivert,€14.00m  
Tyrone Mings,€13.00m  
Callum Wilson,€13.00m  
Wataru Endo,€13.00m  
Valentín Barco,€13.00m  
Álex Moreno,€13.00m  
James Tarkowski,€13.00m  
Manor Solomon,€13.00m  
Bernd Leno,€13.00m  
Trevoh Chalobah,€13.00m  
Kyle Walker,€13.00m  
Ryan Christie,€12.00m  
Lewis Cook,€12.00m  
David Datro Fofana,€12.00m  
Lucas Digne,€12.00m  
Mark Flekken,€12.00m  
Nélson Semedo,€12.00m  
Ethan Pinnock,€12.00m  
Ola Aina,€12.00m  
James McAtee,€12.00m  
Tariq Lamptey,€12.00m  
Dean Henderson,€12.00m  
Sergio Reguilón,€12.00m  
Jorginho,€12.00m  
Neal Maupay,€12.00m  
Stefan Bajcetic,€11.00m  
Andrew Omobamidele,€11.00m  
Jakub Moder,€10.00m  
Matt Targett,€10.00m  
Mario Lemina,€10.00m  
Mikkel Damsgaard,€10.00m  
Cesare Casadei,€10.00m  
Sergio Gómez,€10.00m  
Sam Johnstone,€10.00m  
Saša Lukić,€10.00m  
Josh Dasilva,€10.00m  
Ben Doak,€10.00m  
Ben Davies,€10.00m  
Altay Bayındır,€10.00m  
Joël Veltman,€10.00m  
Fabian Schär,€10.00m  
