Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Lautaro Martínez,"Inter, ",26,",  FW  ",31(2),2668	,24	,3	,3.3	,1.1	,0.6	,1.8	,0.4	,1.4	,2.1	,7.53
Khvicha Kvaratskhelia,"Napoli, ",23,",  AM(CLR),FW  ",32(2),2752	,11	,6	,3.8	,1.9	,3	,2.4	,0.1	,1.4	,1.7	,7.50
Hakan Çalhanoglu,"Inter, ",30,",  M(CLR),FW  ",32,2576	,13	,3	,1.9	,1.6	,0.2	,0.7	,-	,0.2	,0.8	,7.41
Rafael Leão,"AC Milan, ",25,",  AM(CL),FW  ",29(5),2524	,9	,9	,2.1	,1.7	,2.3	,1.5	,0.5	,1.2	,1.9	,7.31
Marcus Thuram,"Inter, ",26,",  AM(L),FW  ",34(1),2707	,13	,7	,2.2	,0.8	,0.9	,1.3	,0.6	,1	,2.3	,7.29
Christian Pulisic,"AC Milan, ",25,",  M(CLR),FW  ",32(4),2621	,12	,8	,1.8	,1.2	,1.3	,1.3	,0.1	,0.9	,1.9	,7.16
Alessandro Buongiorno,"Torino, ",25,",  D(C)  ",29,2530	,3	,-	,0.4	,0.1	,-	,1.3	,-	,0.1	,0.9	,7.14
Matías Soulé,"Frosinone, ",21,",  AM(CR)  ",36,3141	,11	,3	,2.3	,2.3	,2.8	,1.3	,-	,2.1	,2.7	,7.14
Federico Dimarco,"Inter, ",26,",  D(CL),M(L)  ",29(1),2105	,5	,6	,1.7	,2	,0.2	,0.7	,0.2	,0.2	,1	,7.12
Paulo Dybala,"Roma, ",30,",  AM(CR),FW  ",25(3),1977	,13	,9	,2.1	,1.8	,1	,1.8	,0.2	,1.5	,2.5	,7.12
Albert Gudmundsson,"Genoa, ",27,",  AM(CLR),FW  ",34(1),3024	,14	,4	,1.6	,2.3	,1.2	,1.3	,0.3	,1.5	,2.5	,7.10
Adrien Rabiot,"Juventus, ",29,",  DMC,M(L)  ",30(1),2651	,5	,3	,1.2	,0.8	,0.9	,1.2	,0.2	,0.6	,1.7	,7.07
Nicolás González,"Fiorentina, ",26,",  M(CLR),FW  ",21(8),1914	,12	,2	,3	,0.8	,1.2	,1.2	,0.1	,1	,1.4	,7.06
Alessandro Bastoni,"Inter, ",25,",  D(C)  ",28,2283	,1	,3	,0.5	,0.8	,0.4	,1.1	,-	,0.4	,0.4	,7.06
Michele Di Gregorio,"Monza, ",26,",  GK  ",33,2874	,-	,-	,-	,-	,0.1	,0.1	,-	,-	,0.1	,7.03
Joshua Zirkzee,"Bologna, ",23,",  FW  ",32(2),2772	,11	,4	,2.5	,1.3	,1.5	,0.8	,0.1	,1.9	,3.4	,7.03
Teun Koopmeiners,"Atalanta, ",26,",  D(C),M(C)  ",29(5),2633	,12	,5	,1.6	,1.8	,0.6	,0.7	,0.1	,1.3	,1.8	,7.03
Charles De Ketelaere,"Atalanta, ",23,",  M(CLR),FW  ",25(10),2045	,10	,8	,1.3	,1.4	,1.1	,1.3	,0.2	,1.5	,2.4	,7.03
Ademola Lookman,"Atalanta, ",26,",  AM(CLR),FW  ",22(9),1903	,11	,7	,2.2	,1.6	,1.3	,1.1	,0.4	,1.4	,2.1	,7.01
Mattia Zaccagni,"Lazio, ",29,",  AM(CL),FW  ",24(4),1974	,6	,1	,1.5	,1	,1.9	,2.8	,0.3	,1.4	,1.7	,7.01
Danilo,"Juventus, ",32,",  D(CLR),DMC  ",27(2),2451	,1	,1	,0.6	,0.7	,0.3	,0.5	,-	,0.1	,0.4	,6.99
Riccardo Calafiori,"Bologna, ",22,",  D(CL)  ",26(4),2338	,2	,5	,0.6	,0.6	,0.4	,0.9	,0.1	,0.4	,1	,6.99
Bremer,"Juventus, ",27,",  D(C)  ",36,3234	,3	,-	,0.5	,0.2	,0.3	,0.5	,0.1	,0.2	,0.5	,6.99
