Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Lautaro Martínez,"Inter, ",26,",  FW  ",31(2),2668	,3	,1.1	,23	,79.1	,0.1	,0.6	,0.1	,7.53
Khvicha Kvaratskhelia,"Napoli, ",23,",  AM(CLR),FW  ",32(2),2752	,6	,1.9	,31.6	,85.7	,0.7	,1.9	,0.1	,7.50
Hakan Çalhanoglu,"Inter, ",30,",  M(CLR),FW  ",32,2576	,3	,1.6	,67.2	,92.4	,1.7	,4.6	,0.1	,7.41
Rafael Leão,"AC Milan, ",25,",  AM(CL),FW  ",29(5),2524	,9	,1.7	,26.3	,80	,0.7	,0.8	,0.2	,7.31
Marcus Thuram,"Inter, ",26,",  AM(L),FW  ",34(1),2707	,7	,0.8	,18.1	,73.9	,0.2	,0.2	,0.1	,7.29
Christian Pulisic,"AC Milan, ",25,",  M(CLR),FW  ",32(4),2621	,8	,1.2	,26.6	,82.4	,0.9	,0.3	,0.1	,7.16
Alessandro Buongiorno,"Torino, ",25,",  D(C)  ",29,2530	,-	,0.1	,40.7	,85.4	,-	,1.2	,-	,7.14
Matías Soulé,"Frosinone, ",21,",  AM(CR)  ",36,3141	,3	,2.3	,38.9	,81.5	,0.8	,1	,0.4	,7.14
Federico Dimarco,"Inter, ",26,",  D(CL),M(L)  ",29(1),2105	,6	,2	,33.4	,85.2	,1.9	,1.6	,-	,7.12
Paulo Dybala,"Roma, ",30,",  AM(CR),FW  ",25(3),1977	,9	,1.8	,32	,84.3	,0.9	,1.5	,0.1	,7.12
Albert Gudmundsson,"Genoa, ",27,",  AM(CLR),FW  ",34(1),3024	,4	,2.3	,29	,81.6	,1.8	,1.1	,0.1	,7.10
Adrien Rabiot,"Juventus, ",29,",  DMC,M(L)  ",30(1),2651	,3	,0.8	,36.7	,84.4	,0.4	,1	,0.1	,7.07
Nicolás González,"Fiorentina, ",26,",  M(CLR),FW  ",21(8),1914	,2	,0.8	,24.8	,74.1	,0.2	,1.4	,0.1	,7.06
Alessandro Bastoni,"Inter, ",25,",  D(C)  ",28,2283	,3	,0.8	,63.5	,89.8	,0.6	,5	,-	,7.06
Michele Di Gregorio,"Monza, ",26,",  GK  ",33,2874	,-	,-	,34.8	,74.4	,-	,7.4	,-	,7.03
Joshua Zirkzee,"Bologna, ",23,",  FW  ",32(2),2772	,4	,1.3	,26.5	,78	,-	,0.6	,0.1	,7.03
Teun Koopmeiners,"Atalanta, ",26,",  D(C),M(C)  ",29(5),2633	,5	,1.8	,37.5	,81.6	,1.2	,1.6	,0.1	,7.03
Charles De Ketelaere,"Atalanta, ",23,",  M(CLR),FW  ",25(10),2045	,8	,1.4	,20.7	,75.6	,0.3	,0.5	,0.1	,7.03
Ademola Lookman,"Atalanta, ",26,",  AM(CLR),FW  ",22(9),1903	,7	,1.6	,24.5	,80.2	,0.6	,0.3	,-	,7.01
Mattia Zaccagni,"Lazio, ",29,",  AM(CL),FW  ",24(4),1974	,1	,1	,28.8	,84.1	,0.5	,0.7	,-	,7.01
Danilo Luiz da Silva,"Juventus, ",32,",  D(CLR),DMC  ",27(2),2451	,1	,0.7	,59.8	,87.1	,0.2	,4.6	,-	,6.99
Riccardo Calafiori,"Bologna, ",22,",  D(CL)  ",26(4),2338	,5	,0.6	,59.4	,89.8	,0.1	,2.5	,-	,6.99
Bremer,"Juventus, ",27,",  D(C)  ",36,3234	,-	,0.2	,53.4	,86.3	,-	,3.9	,-	,6.99
Duván Zapata,"Torino, ",33,",  FW  ",34(1),2893	,4	,0.8	,19.6	,69.6	,0.1	,0.6	,-	,6.98
Victor Osimhen,"Napoli, ",25,",  FW  ",22(3),1990	,3	,0.9	,10.8	,71	,-	,0.2	,-	,6.98
Federico Chiesa,"Juventus, ",26,",  M(CLR),FW  ",25(8),2207	,2	,1.6	,17.2	,77.3	,1.2	,0.3	,0.2	,6.98
Henrikh Mkhitaryan,"Inter, ",35,",  M(CLR),FW  ",35(1),2804	,8	,1.1	,45.4	,88	,0.1	,1.7	,0.1	,6.96
Elia Caprile,"Empoli, ",22,",  GK  ",23,2070	,-	,0.1	,29.5	,62.4	,-	,6	,-	,6.95
Francesco Acerbi,"Inter, ",36,",  D(C)  ",26(3),2387	,1	,0.2	,60.8	,91.1	,0.1	,3.3	,-	,6.95
Lewis Ferguson,"Bologna, ",24,",  M(C)  ",31,2718	,3	,1	,56.3	,88.9	,0.1	,1.2	,0.1	,6.94
Gianluca Scamacca,"Atalanta, ",25,",  FW  ",17(12),1459	,6	,1.1	,14.6	,69	,-	,1.1	,0.1	,6.94
Olivier Giroud,"AC Milan, ",37,",  FW  ",28(7),2374	,8	,0.9	,13.8	,69.4	,-	,0.2	,0.1	,6.94
Lorenzo Pellegrini,"Roma, ",28,",  M(CL)  ",20(9),1867	,3	,1.2	,26.6	,82.6	,0.9	,0.5	,0.1	,6.93
Éderson,"Atalanta, ",25,",  M(C)  ",32(4),2875	,1	,0.5	,45.4	,84.4	,0.2	,2.4	,0.1	,6.92
Giorgio Scalvini,"Atalanta, ",20,",  D(C)  ",31(2),2556	,3	,0.3	,46.3	,81.7	,0.1	,1.4	,-	,6.91
Théo Hernández,"AC Milan, ",26,",  D(CL),M(L)  ",31(1),2795	,4	,1.4	,55.5	,87.7	,0.7	,1.7	,0.1	,6.91
Marten de Roon,"Atalanta, ",33,",  D(C),DMC  ",29(1),2599	,5	,0.8	,56	,85.1	,0.1	,3.8	,0.1	,6.90
Lucas Martínez Quarta,"Fiorentina, ",28,",  D(C)  ",26(3),2292	,1	,0.5	,56.9	,82.3	,0.1	,4.9	,-	,6.89
Benjamin Pavard,"Inter, ",28,",  D(CLR),M(R)  ",21(2),1679	,2	,0.4	,54.6	,91.6	,0.1	,2.4	,-	,6.89
Yann Sommer,"Inter, ",35,",  GK  ",34,3060	,-	,-	,32.8	,86.3	,-	,4.7	,-	,6.89
Ruben Loftus-Cheek,"AC Milan, ",28,",  M(CLR)  ",26(3),2081	,1	,0.9	,24.7	,85.8	,0.1	,0.2	,-	,6.88
Matteo Politano,"Napoli, ",30,",  AM(CLR),FW  ",31(6),2387	,7	,1.9	,30	,83	,1.1	,1.8	,-	,6.88
Bryan Cristante,"Roma, ",29,",  D(C),M(C)  ",37,3292	,4	,0.8	,57.8	,83.1	,0.2	,2.9	,0.1	,6.88
Lazar Samardzic,"Udinese, ",22,",  AM(C)  ",28(6),2381	,2	,1.8	,24.6	,81	,1.2	,1.7	,0.1	,6.88
Milan Djuric,"Verona, ",34,",  FW  ",13(7),1208	,1	,0.8	,16.7	,54.4	,-	,0.2	,-	,6.87
Luis Alberto,"Lazio, ",31,",  AM(CL),FW  ",29(4),2321	,7	,1.9	,45.6	,83.7	,1	,1.7	,0.2	,6.87
Alberto Dossena,"Cagliari, ",25,",  D(C)  ",33(2),2979	,4	,0.3	,37	,80	,-	,3.1	,0.1	,6.87
Cyril Ngonge,"Verona, ",24,",  AM(CR),FW  ",17(2),1438	,2	,1.1	,16.1	,69	,1.1	,0.7	,-	,6.86
Giacomo Bonaventura,"Fiorentina, ",34,",  M(CLR)  ",27(4),2288	,3	,1.3	,34.3	,85	,0.6	,1.7	,0.2	,6.86
Felipe Anderson,"Lazio, ",31,",  M(CLR),FW  ",33(5),2784	,6	,1.1	,33	,78.5	,0.3	,0.7	,0.1	,6.86
Tijjani Reijnders,"AC Milan, ",25,",  M(C)  ",33(3),2830	,3	,1.4	,46.9	,91.7	,0.4	,1.4	,0.1	,6.85
