Name,Value
Jan-Carlo Simić,€5.00m  
Álex Jiménez,€4.00m  
Niccolò Pisilli,€3.50m  
Riccardo Pagano,€2.50m  
João Costa,€1.00m  
Kingstone Mutandwa,€1.00m  
Christian Corradi,€800k  
Herculano Nabian,€450k  
Luigi Cherubini,€350k  
Andrea Sodero,€300k  
Naïm Byar,€250k  
Lorenzo Menegazzo,€200k  
Filipe Bordon,€200k  
Gabriele Indragoli,€200k  
Ed McJannet,€150k  
Tommaso Marras,€150k  
Jacopo Seghetti,€150k  
Saer Diop,€150k  
Demirel Hodzic,€100k  
Etienne Catena,€100k  
Velizar-Iliya Iliev,€100k  
Issa Doumbia,€500k  
Tete Morente,€2.50m  
Cristo Muñoz,€50k  
Sekou Diawara,€250k  
Saad El Haddad,€125k  
Lorenzo Sgarbi,€550k  
Simone Ghidotti,€375k  
Gabriele Artistico,€325k  
Federico Valietti,€100k  
Bruno Conti,€75k  
Edoardo Piana,€25k  
Isaías Delpupo,€700k  
Marco Bleve,€600k  
Davide Merola,€600k  
Lorenzo Ignacchiti,€600k  
Samuele Angori,€500k  
Coli Saco,€300k  
Niccolò Chiorra,€300k  
Francesco Donati,€300k  
Óttar Magnús Karlsson,€200k  
Filippo Rinaldi,€150k  
Dario Sits,€100k  
Giuseppe Ciocci,€100k  
Alessandro Renzi,€100k  
Lorenzo Da Pozzo,€75k  
Alessio Furlanetto,€50k  
Afonso Peixoto,€25k  
Elia Petrelli,€25k  
Daishawn Redan,€800k  
Luca Marianucci,€175k  
Liam Kerrigan,€175k  
Davide Mastrantonio,€150k  
Paolo Gozzi,€400k  
Damián Pizarro,€6.50m  
Antonino Viola,€150k  
Simone Ascione,€150k  
Valerio Biagini,€50k  
Noah Baudouin,€50k  
Ola Solbakken,€2.50m  
Omari Forson,€2.00m  
Daniel Mosquera,€700k  
Balthazar Pierret,€1.00m  
Nathan Buayi-Kiala,€200k  
David Flakus Bosilj,€400k  
Juan Miranda,€9.00m  
Lucien Agoumé,€6.00m  
Luka Romero,€5.00m  
Nemanja Radonjic,€2.80m  
Peter Kovacik,€1.20m  
Mehdi Taremi,€10.00m  
Leonardo Buta,€3.00m  
Kialonda Gaspar,€1.50m  
Domingos Quina,€1.50m  
Brandon Soppy,€2.00m  
Thórir Jóhann Helgason,€1.00m  
Marlon Mustapha,€900k  
Aleksey Miranchuk,€10.00m  
Lautaro Martínez,€110.00m  
Victor Osimhen,€100.00m  
Rafael Leão,€90.00m  
Khvicha Kvaratskhelia,€80.00m  
Nicolò Barella,€80.00m  
Alessandro Bastoni,€70.00m  
Dušan Vlahović,€65.00m  
Marcus Thuram,€65.00m  
Bremer,€60.00m  
Theo Hernández,€60.00m  
Federico Dimarco,€50.00m  
Teun Koopmeiners,€50.00m  
Joshua Zirkzee,€50.00m  
Benjamin Pavard,€50.00m  
Hakan Çalhanoğlu,€45.00m  
Giorgio Scalvini,€45.00m  
Éderson,€40.00m  
Fikayo Tomori,€40.00m  
Christian Pulisic,€40.00m  
Ademola Lookman,€40.00m  
Mike Maignan,€38.00m  
Alessandro Buongiorno,€35.00m  
Federico Chiesa,€35.00m  
Gianluca Scamacca,€35.00m  
Davide Frattesi,€35.00m  
Nicolás González,€35.00m  
Charles De Ketelaere,€34.00m  
Albert Gudmundsson,€30.00m  
Riccardo Calafiori,€30.00m  
Ismaël Bennacer,€30.00m  
Tijjani Reijnders,€30.00m  
Kenan Yıldız,€30.00m  
Tammy Abraham,€30.00m  
Stanislav Lobotka,€28.00m  
Manuel Locatelli,€28.00m  
Weston McKennie,€28.00m  
Frank Anguissa,€27.00m  
Ruben Loftus-Cheek,€25.00m  
Malick Thiaw,€25.00m  
Evan Ndicka,€25.00m  
Giacomo Raspadori,€25.00m  
Michael Kayode,€25.00m  
Andrea Cambiaso,€25.00m  
Matías Soulé,€25.00m  
Perr Schuurs,€25.00m  
Gianluca Mancini,€25.00m  
Lorenzo Pellegrini,€25.00m  
Mattéo Guendouzi,€25.00m  
Lewis Ferguson,€24.00m  
Denzel Dumfries,€24.00m  
Jesper Lindstrøm,€22.00m  
Carlos Augusto,€22.00m  
Samuele Ricci,€22.00m  
Yunus Musah,€22.00m  
Piotr Zieliński,€22.00m  
Isak Hien,€20.00m  
Samuel Chukwueze,€20.00m  
Bryan Cristante,€20.00m  
El Bilal Touré,€20.00m  
Mattia Zaccagni,€20.00m  
Noah Okafor,€20.00m  
Pierre Kalulu,€20.00m  
Paulo Dybala,€20.00m  
Matteo Ruggeri,€20.00m  
Lazar Samardžić,€20.00m  
Federico Gatti,€18.00m  
Sam Beukema,€18.00m  
Edoardo Bove,€18.00m  
Ivan Ilić,€18.00m  
Kristjan Asllani,€18.00m  
Nicolò Rovella,€18.00m  
Michele Di Gregorio,€18.00m  
Andrea Colpani,€18.00m  
Dodô,€17.00m  
Jhon Lucumí,€17.00m  
Riccardo Orsolini,€16.00m  
Yann Bisseck,€16.00m  
Lucas Beltrán,€16.00m  
Marco Carnesecchi,€16.00m  
Mateo Retegui,€16.00m  
Nikola Milenković,€15.00m  
Matteo Pessina,€15.00m  
Tommaso Baldanzi,€15.00m  
Mathías Olivera,€15.00m  
Arthur Melo,€15.00m  
Alessio Romagnoli,€15.00m  
Yacine Adli,€15.00m  
Morten Frendrup,€15.00m  
Amir Rrahmani,€15.00m  
Valentín Carboni,€15.00m  
Nicolò Fagioli,€15.00m  
Fabio Miretti,€15.00m  
Giovanni Di Lorenzo,€15.00m  
Raoul Bellanova,€15.00m  
Taty Castellanos,€15.00m  
Lucas Martínez Quarta,€15.00m  
Ivan Provedel,€14.00m  
Moise Kean,€14.00m  
Giovanni Fabbian,€14.00m  
Vitinha,€14.00m  
Nicolò Casale,€14.00m  
Ivan Provedel,€14.00m  
Dan Ndoye,€14.00m  
Mario Gila,€13.00m  
Davide Calabria,€13.00m  
Mario Pasalic,€13.00m  
Matteo Politano,€13.00m  
Nehuén Pérez,€13.00m  
Cyril Ngonge,€12.00m  
Tiago Djaló,€12.00m  
Emil Holm,€12.00m  
Lorenzo Lucca,€12.00m  
Timothy Weah,€12.00m  
Alexis Saelemaekers,€12.00m  
Patrick Dorgu,€12.00m  
Koni De Winter,€12.00m  
Nicola Zalewski,€12.00m  
Natan,€12.00m  
Santiago Castro,€12.00m  
Alex Meret,€12.00m  
Gustav Isaksen,€12.00m  
Tommaso Pobega,€10.00m  
Matteo Prati,€10.00m  
Houssem Aouar,€10.00m  
Giovanni Simeone,€10.00m  
Jaka Bijol,€10.00m  
Jens Cajuste,€10.00m  
Tijjani Noslin,€10.00m  
Tommaso Pobega,€10.00m  
Jonathan Ikoné,€10.00m  
Nikola Vlašić,€10.00m  
Sead Kolasinac,€10.00m  
Danilo,€10.00m  
Johan Vásquez,€10.00m  
Dean Huijsen,€10.00m  
Fabiano Parisi,€9.50m  
Mile Svilar,€9.00m  
Michel Aebischer,€9.00m  
Michael Folorunsho,€8.50m  
Rolando Mandragora,€8.50m  
Jesper Karlsson,€8.00m  
Ruslan Malinovskyi,€8.00m  
Loum Tchaouna,€8.00m  
Leo Østigård,€8.00m  
Leandro Paredes,€8.00m  
Angeliño,€8.00m  
Sandi Lovric,€8.00m  
Matteo Gabbia,€8.00m  
Luca Ranieri,€8.00m  
Josep Martínez,€8.00m  
Duván Zapata,€8.00m  
Tajon Buchanan,€8.00m  
Zito Luvumbo,€7.50m  
Christian Kouamé,€7.50m  
Antonio Sanabria,€7.00m  
Nicolò Cambiaghi,€7.00m  
Brenner,€7.00m  
Luka Jović,€7.00m  
M'Bala Nzola,€7.00m  
Marin Pongracic,€7.00m  
Marten de Roon,€7.00m  
Valentin Gendrey,€7.00m  
Stefan de Vrij,€7.00m  
Tomas Suslov,€7.00m  
Kacper Urbanski,€7.00m  
Mitchel Bakker,€6.50m  
Filip Kostić,€6.50m  
Remo Freuler,€6.50m  
Nikola Krstovic,€6.00m  
Lameck Banda,€6.00m  
Warren Bondo,€6.00m  
Zeki Çelik,€6.00m  
Zeki Çelik,€6.00m  
Wojciech Szczęsny,€6.00m  
Arkadiusz Milik,€6.00m  
Diego Coppola,€6.00m  
Walid Cheddira,€6.00m  
Davide Zappacosta,€6.00m  
Henrikh Mkhitaryan,€6.00m  
Lorenzo Colombo,€6.00m  
Festy Ebosele,€6.00m  
Federico Baschirotto,€6.00m  
Riccardo Sottil,€6.00m  
Gianluca Gaetano,€6.00m  
Jacopo Fazzini,€6.00m  
Danilo Cataldi,€5.50m  
Jordan Zemura,€5.00m  
Adrien Tamèze,€5.00m  
Yann Sommer,€5.00m  
Dany Mota,€5.00m  
Stephan El Shaarawy,€5.00m  
Juan Musso,€5.00m  
Wladimiro Falcone,€5.00m  
Rick Karsdorp,€5.00m  
Vanja Milinković-Savić,€5.00m  
Alessandro Zanoli,€5.00m  
Nikola Moro,€5.00m  
Aarón Martín,€5.00m  
Andrea Belotti,€5.00m  
Eldor Shomurodov,€5.00m  
Suat Serdar,€5.00m  
Alberto Dossena,€5.00m  
Alessandro Zanoli,€5.00m  
Matteo Cancellieri,€4.80m  
Jens Odgaard,€4.50m  
Antonino Gallo,€4.50m  
Youssef Maleh,€4.50m  
Joan González,€4.50m  
Filippo Terracciano,€4.50m  
Antonín Barák,€4.50m  
Hassane Kamara,€4.50m  
Thomas Kristensen,€4.50m  
Marash Kumbulla,€4.50m  
Martín Payero,€4.50m  
Antoine Makoumbou,€4.50m  
Daniel Maldini,€4.50m  
Patrick Ciurria,€4.00m  
Pierluigi Gollini,€4.00m  
Ibrahim Sulemana,€4.00m  
Ondrej Duda,€4.00m  
Alan Matturro,€4.00m  
Ciro Immobile,€4.00m  
Ylber Ramadani,€4.00m  
Andrea Carboni,€4.00m  
Leonardo Spinazzola,€4.00m  
Patric,€4.00m  
Gaetano Oristanio,€4.00m  
Gianluca Caprari,€4.00m  
Daniele Rugani,€4.00m  
Maduka Okoye,€4.00m  
Pierluigi Gollini,€4.00m  
Ibrahim Sulemana,€4.00m  
Ondrej Duda,€4.00m  
Alan Matturro,€4.00m  
Ciro Immobile,€4.00m  
Patrick Ciurria,€4.00m  
Andrea Petagna,€3.80m  
Mário Rui,€3.50m  
Francesco Acerbi,€3.50m  
Samuele Vignato,€3.50m  
Adam Obert,€3.50m  
Hans Hateboer,€3.50m  
Cristiano Biraghi,€3.50m  
Lukasz Skorupski,€3.50m  
Karol Linetty,€3.50m  
Georgios Kyriakopoulos,€3.50m  
Luca Pellegrini,€3.50m  
Sebastiano Luperto,€3.50m  
Samuele Vignato,€3.50m  
Adam Obert,€3.50m  
Hans Hateboer,€3.50m  
Cristiano Biraghi,€3.50m  
Lukasz Skorupski,€3.50m  
Pablo Marí,€3.50m  
Rémi Oudin,€3.50m  
Mohamed Kaba,€3.50m  
Pietro Pellegri,€3.00m  
Morten Thorsby,€3.00m  
Nadir Zortea,€3.00m  
Pasquale Mazzocchi,€3.00m  
Ardian Ismajli,€3.00m  
Giangiacomo Magnani,€3.00m  
Gino Infantino,€3.00m  
Hans Nicolussi Caviglia,€3.00m  
Christos Mandas,€3.00m  
Mattia Perin,€3.00m  
Paweł Dawidowicz,€3.00m  
Oliver Christensen,€3.00m  
Alexis Blin,€3.00m  
Roberto Gagliardini,€3.00m  
Mateusz Wieteska,€3.00m  
Mërgim Vojvoda,€3.00m  
Yerry Mina,€3.00m  
Florian Thauvin,€3.00m  
Keinan Davis,€3.00m  
Jackson Tchatchoua,€3.00m  
Toma Bašić,€2.80m  
Saba Sazonov,€2.80m  
Abdou Harroui,€2.70m  
Răzvan Marin,€2.70m  
Pantelis Hatzidiakos,€2.50m  
Simone Scuffet,€2.50m  
Mattia Bani,€2.50m  
Chris Smalling,€2.50m  
Santiago Pierotti,€2.50m  
Juan Jesus,€2.50m  
Lautaro Giannetti,€2.50m  
Isaac Success,€2.50m  
Matías Vecino,€2.50m  
Sebastian Walukiewicz,€2.50m  
Oussama El Azzouzi,€2.50m  
Gabriele Zappa,€2.50m  
Junior Messias,€2.50m  
Armando Izzo,€2.50m  
Elseid Hysaj,€2.50m  
Rafael Tolói,€2.50m  
Pietro Terracciano,€2.50m  
Mattia Bani,€2.50m  
Giorgio Cittadini,€2.40m  
Emanuele Valeri,€2.30m  
Kingsley Ehizibue,€2.20m  
Giuseppe Pezzella,€2.20m  
Liberato Cacace,€2.00m  
David Ankeye,€2.00m  
Oier Zarraga,€2.00m  
Tyronne Ebuehi,€2.00m  
Thomas Henry,€2.00m  
João Ferreira,€2.00m  
Alessandro Florenzi,€2.00m  
Demba Seck,€2.00m  
Alessandro Vogliacco,€2.00m  
Dani Silva,€2.00m  
Matija Popovic,€2.00m  
Gvidas Gineitis,€2.00m  
Stiven Shpendi,€2.00m  
Tommaso Augello,€2.00m  
Alessandro Deiola,€1.90m  
Alberto Grassi,€1.80m  
Louis Munteanu,€1.80m  
Kevin Bonifazi,€1.80m  
Emmanuel Gyasi,€1.80m  
Niccolò Pierozzi,€1.80m  
Emmanuel Gyasi,€1.80m  
Emil Bohinen,€1.80m  
Alberto Cerri,€1.70m  
Hamza Rafia,€1.70m  
Gianluca Lapadula,€1.50m  
Adam Masina,€1.50m  
Pedro Pereira,€1.50m  
Davide Faraoni,€1.50m  
Alessio Cragno,€1.50m  
Viktor Kovalenko,€1.50m  
Stefano Sabelli,€1.50m  
Caleb Ekuban,€1.50m  
Darko Lazović,€1.50m  
Milan Djuric,€1.50m  
Marco Sportiello,€1.50m  
Luca Caldirola,€1.30m  
Lorenzo Venuti,€1.20m  
Daniel Samek,€1.20m  
Jakub Jankto,€1.20m  
Tommaso Martinelli,€1.00m  
Federico Ravaglia,€1.00m  
José Machín,€1.00m  
Medon Berisha,€1.00m  
Gerard Deulofeu,€1.00m  
Michel Adopo,€1.00m  
Diego González,€1.00m  
Francesco Caputo,€1.00m  
Jean-Daniel Akpa Akpro,€1.00m  
Nicola Sansone,€1.00m  
David Pejičić,€1.00m  
Davide Bettella,€1.00m  
Christian Kabasele,€1.00m  
Marco Silvestri,€1.00m  
Charalampos Lykogiannis,€1.00m  
Danilo D'Ambrosio,€1.00m  
Boris Radunović,€1.00m  
Tommaso Corazza,€1.00m  
Paulo Azzi,€1.00m  
Mattia De Sciglio,€1.00m  
Luca Belardinelli,€1.00m  
Giovanni Bonfanti,€1.00m  
Elayis Tavsan,€1.00m  
Pedro,€1.00m  
Ridgeciano Haps,€900k  
Alessandro Di Pardo,€900k  
Saná Fernandes,€800k  
Milan Badelj,€800k  
Mihai Popa,€800k  
Alessandro Sorrentino,€800k  
Leonardo Pavoletti,€800k  
Antonio Tikvić,€700k  
Rareș Burnete,€700k  
Pietro Comuzzo,€700k  
Nicola Leali,€600k  
Samuele Perisan,€600k  
Reda Belahyane,€500k  
Stefano Gori,€500k  
Juan Manuel Cruz,€450k  
Nikita Contini,€400k  
Lorenzo De Silvestri,€400k  
Jeppe Corfitzen,€400k  
André Anderson,€400k  
Tommaso Vannucchi,€400k  
Raffaele Di Gennaro,€300k  
Saba Goglichidze,€300k  
James Abankwah,€300k  
Nicola Bagnolini,€200k  
Federico Brancolini,€200k  
Franz Stolz,€200k  
Carlo Pinsoglio,€200k  
Simone Perilli,€200k  
Alexandru Borbei,€150k  
Daniele Padelli,€150k  
Lapo Nava,€150k  
Pietro Boer,€150k  
Mattia Chiesa,€100k  
Daniele Sommariva,€100k  
Francesco Rossi,€100k  
Pietro Passador,€100k  
Joselito,€75k  
Jasper Samooja,€75k  
Alessandro Berardi,€50k  
Abdelhamid Sabiri,€2.20m  
Zinho Vanheusden,€5.00m  
Kelvin Yeboah,€4.00m  
Elias Cobbaut,€2.50m  
Josip Brekalo,€3.50m  
Mirko Maric,€800k  
Emmanuel Ekong,€500k  
Khéphren Thuram,€35.00m  
Martín Satriano,€7.00m  
Joaquín Correa,€6.00m  
Silvan Hefti,€2.50m  
Yann Karamoh,€2.50m  
Adrián Bernabé,€12.00m  
Dennis Man,€9.00m  
Alessandro Circati,€8.50m  
Ange-Yoan Bonny,€8.00m  
Tanner Tessmann,€7.00m  
Lucas Da Cunha,€6.50m  
Lucas Da Cunha,€6.50m  
Gabriel Strefezza,€6.00m  
Adrian Benedyczak,€6.00m  
Joel Pohjanpalo,€5.50m  
Sebastiano Esposito,€5.00m  
Patrick Cutrone,€5.00m  
Enrico Del Prato,€4.50m  
Antonio Raimondo,€4.50m  
Nahuel Estévez,€3.50m  
Filip Stankovic,€3.00m  
Francesco Pio Esposito,€3.00m  
Valentin Mihăilă,€2.80m  
Simon Sohm,€2.70m  
Cas Odenthal,€2.50m  
Simone Verdi,€2.50m  
