Name,Value
Mario Aprea,€125k  
Alessandro Bagli,€25k  
Giulio Veliaj,€25k  
Justin Kumi,€800k  
Flavio Russo,€800k  
Kevin Leone,€400k  
Kevin Bruno,€400k  
Giacomo Corona,€400k  
Francesco Conti,€200k  
Riyad Idrissi,€200k  
Alessandro Selvini,€200k  
Lorenzo Palmisani,€200k  
Daniel Theiner,€150k  
Borna Knezovic,€100k  
Francesco D'Alessio,€100k  
Justin Ferizaj,€75k  
Luca Polli,€75k  
Lazar Zaknic,€50k  
Evan Bouabre,€25k  
Aurélien Scheidler,€1.00m  
David Stückler,€200k  
Antonino La Gumina,€500k  
Daniele Triacca,€150k  
Benedikt Rottensteiner,€125k  
Tommaso Ferrari,€100k  
Edoardo Motta,€100k  
Dachi Lordkipanidze,€100k  
Tommaso Duca,€100k  
Gregorio Salvati,€50k  
Giuseppe Leone,€450k  
Alessio Curcio,€450k  
Leonardo Candellone,€400k  
Andrea Adorante,€400k  
Daniele Mignanelli,€350k  
Marco Bellich,€325k  
Davide Buglio,€325k  
Edoardo Masciangelo,€275k  
Matteo Bachini,€250k  
Nicola Mosti,€250k  
Andrea D'Errico,€250k  
Federico Romeo,€225k  
Giuseppe Fella,€225k  
Tommaso Di Marco,€225k  
Kevin Piscopo,€225k  
Ivan Saio,€225k  
Cristian Andreoni,€200k  
Jacopo Martini,€200k  
Daniele Celiento,€200k  
Simone Simeri,€175k  
Riccardo Tonin,€175k  
Matteo Baldi,€175k  
Andrea Hristov,€175k  
Christian Pierobon,€175k  
Enrico Piovanello,€150k  
Marco Meli,€150k  
Joshua Tenkorang,€125k  
Alberto Gerbo,€125k  
Johan Guadagno,€125k  
Flavio Di Dio,€125k  
Alessandro Arioli,€100k  
Laurens Serpe,€100k  
Salvatore La Vardera,€75k  
Malik Olalekan Opoola,€75k  
Mariano Guarracino,€50k  
Matteo Esposito,€50k  
Francesco Folino,€50k  
Pierluca Luciani,€50k  
Alessandro Signorini,€25k  
Francesco D'Amore,€25k  
Cristian Shpendi,€3.00m  
Tommaso Berti,€1.00m  
Emanuele Adamo,€700k  
Augustus Kargbo,€600k  
Giuseppe Prestia,€600k  
Andrea Rizzo Pinna,€500k  
Matteo Francesconi,€500k  
Andrea Ciofi,€500k  
Simone Pieraccini,€500k  
Nicolás Schiavi,€500k  
Marco Imperiale,€500k  
Luigi Silvestri,€500k  
Yeferson Paz,€500k  
Francesco Ruocco,€500k  
Manuel Cicconi,€500k  
Christian Kouan,€500k  
Giuseppe Panico,€500k  
Daniele Donnarumma,€450k  
Massimo Zilli,€400k  
Matteo Di Gennaro,€400k  
Alessandro Capello,€400k  
Simone Corazza,€400k  
Patryk Peda,€400k  
Matteo Pisseri,€350k  
Alessandro Mercati,€300k  
Simone Cangianiello,€300k  
Julián Illanes,€300k  
Simone Zanon,€300k  
Stefano Cella,€300k  
Simone Della Latta,€300k  
Mauro Coppolaro,€300k  
Saber Hraiech,€250k  
Romeo Giovannini,€250k  
Lorenzo Malagrida,€250k  
Mattia Finotto,€250k  
Francesco De Rose,€250k  
Roberto Ogunseye,€200k  
Ivan Varone,€200k  
Diego Stramaccioni,€200k  
Nicola Pietrangeli,€200k  
Daniele Montevago,€200k  
Antonio David,€200k  
Jacopo Desogus,€200k  
Leonardo Capezzi,€200k  
Samuele Damiani,€200k  
Emanuele Zuelli,€200k  
Federico Casolari,€200k  
Niccolò Belloni,€200k  
Luca Ghiringhelli,€150k  
Davide Grassini,€150k  
Alessandro Raimo,€150k  
Jonathan Klinsmann,€100k  
Alessandro Siano,€100k  
Matteo Piacentini,€100k  
Riccardo Chiarello,€100k  
Romano Floriani Mussolini,€100k  
Ousmane Niang,€75k  
Alessandro Giovannini,€50k  
Andrea Astrologo,€50k  
Antonio Pio Iervolino,€50k  
Enea Pitti,€25k  
Simone Trimboli,€600k  
Jacopo Da Riva,€600k  
Marco Delle Monache,€600k  
Christian D'Urso,€600k  
Francesco Galuppini,€500k  
Fabrizio Brignani,€450k  
Salvatore Burrai,€400k  
Jacopo Sassi,€400k  
Matteo Maggio,€400k  
Alex Redolfi,€400k  
Mattia Muroni,€350k  
Marco Festa,€350k  
Antonio Fiori,€350k  
Salvatore Santoro,€350k  
Nicolò Radaelli,€300k  
Gioele Zacchi,€300k  
Alessandro Russo,€300k  
Tommaso Maggioni,€275k  
Erik Panizzi,€275k  
Kristjan Matosevic,€250k  
Elia Giani,€250k  
Stefano Piccinini,€250k  
David Wieser,€250k  
Marco Varnier,€250k  
Federico Artioli,€225k  
Christian Celesia,€225k  
Andrei Motoc,€225k  
Nosa Edward Obaretin,€225k  
Davis Mensah,€200k  
Cristiano Bani,€200k  
Accursio Bentivegna,€200k  
Kaleb Jiménez,€200k  
Alessandro Debenedetti,€175k  
Giacomo Fedel,€175k  
Thomas Alberti,€175k  
Simone Giorgeschi,€175k  
Christian Sussi,€175k  
Hamza Haoudi,€175k  
Simone Tronchin,€150k  
Samuele Regazzetti,€150k  
Francesco Bombagi,€150k  
Luca Sonzogni,€125k  
Gabriele Bracaglia,€125k  
Davide Gentile,€125k  
Sebastien De Maio,€125k  
Alberto Basso Ricci,€100k  
Federico Botti,€75k  
Ertijon Gega,€75k  
Alessandro Vimercati,€75k  
Davide Di Quinzio,€75k  
Alessio Napoli,€25k  
Lilian Njoh,€250k  
Andrea Primasso,€125k  
Alfonso Rizzuto,€125k  
Marcello Piras,€100k  
Rocco Scavone,€100k  
Julius Beck,€350k  
Maissa Ndiaye,€150k  
Matthias Verreth,€700k  
Andrea Pinamonti,€15.00m  
Armand Laurienté,€10.00m  
Domenico Berardi,€10.00m  
Boulaye Dia,€10.00m  
Kristian Thorstvedt,€8.00m  
Maxime López,€7.50m  
Daniel Boloca,€7.00m  
Stefano Turati,€7.00m  
