Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_x,Blocks,OwnG,KeyP,Drb_y,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,Value
https://www.whoscored.com/Players/140051/Show/Ga%C3%ABtan-Laborde,Gaëtan Laborde,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",30,",  AM(CLR),FW  ",22(12),1914,5	,2	,2	,-	,1.9	,70.6,0.9	,-	,6.5,0.5	,0.2	,0.7	,-	,0.2	,0.6	,0.1	,-	,0.8	,0.5	,0.2	,0.1	,0.8	,0.8	,14.4,0.5	,0.4	,-	,€10.00m  
https://www.whoscored.com/Players/123923/Show/Simone-Scuffet,Simone Scuffet,https://www.whoscored.com/Teams/78/Show/Italy-Cagliari,"Cagliari, ",28,",  GK  ",31,2790,-	,-	,3	,-	,-	,62.0,0.1	,-	,6.4,-	,-	,-	,-	,0.7	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,26.5,-	,6.4	,-	,€2.50m  
https://www.whoscored.com/Players/416209/Show/William-Osula,William Osula,https://www.whoscored.com/Teams/163/Show/England-Sheff-Utd,"Sheff Utd, ",20,",  FW  ",9(12),785,-	,-	,4	,-	,1	,53.3,1.1	,-	,6.0,0.1	,0.1	,0.7	,-	,0.4	,-	,-	,-	,-	,0.1	,0.6	,0.3	,0.7	,1.5	,4.3,-	,-	,-	,€3.00m  
https://www.whoscored.com/Players/369570/Show/Manu-Kon%C3%A9,Manu Koné,https://www.whoscored.com/Teams/134/Show/Germany-Borussia-M-Gladbach,"Borussia M.Gladbach, ",23,",  DMC  ",18(4),1567,1	,-	,4	,1	,1.1	,85.4,1	,-	,6.7,2	,0.7	,1.3	,-	,0.7	,0.4	,-	,-	,1.1	,1.7	,1.6	,0.1	,1.9	,1.9	,31.0,-	,1	,-	,€20.00m
https://www.whoscored.com/Players/259648/Show/Benjamin-Pavard,Benjamin Pavard,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",28,",  D(CLR),M(R)  ",21(2),1679,-	,2	,6	,-	,0.7	,91.6,1.5	,1	,6.89,1.5	,1.4	,1	,0.4	,1.8	,0.2	,0.7	,-	,0.4	,0.1	,0.7	,0.1	,-	,0.3	,54.6,0.1	,2.4	,-	,€50.00m  
https://www.whoscored.com/Players/73797/Show/Koen-Casteels,Koen Casteels,https://www.whoscored.com/Teams/33/Show/Germany-Wolfsburg,"Wolfsburg, ",32,",  GK  ",25,2250,-	,-	,2	,-	,-	,69.0,0.3	,-	,6.48,0.1	,-	,-	,-	,1	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,33.2,-	,8.5	,-	,€6.00m
https://www.whoscored.com/Players/291930/Show/Tobias-Kempe,Tobias Kempe,https://www.whoscored.com/Teams/1147/Show/Germany-Darmstadt,"Darmstadt, ",35,",  M(CLR)  ",15(9),1351,3	,2	,1	,-	,0.9	,81.1,0.5	,-	,6.46,0.8	,0.4	,0.6	,-	,0.5	,0.7	,0.2	,-	,1.2	,0.3	,0.5	,-	,0.5	,1.2	,19.6,1.2	,0.8	,-	,€500k  
https://www.whoscored.com/Players/425576/Show/James-McAtee,James McAtee,https://www.whoscored.com/Teams/163/Show/England-Sheff-Utd,"Sheff Utd, ",21,",  AM(CR)  ",20(10),1826,3	,3	,2	,-	,0.9	,72.0,0.4	,-	,6.38,1.1	,0.4	,0.5	,-	,0.5	,0.7	,-	,-	,0.9	,1.1	,1	,-	,1.3	,1.6	,16.3,0.3	,0.2	,0.1	,€12.00m  
https://www.whoscored.com/Players/297409/Show/Pedro-Chirivella,Pedro Chirivella,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",27,",  DMC  ",31(1),2603,1	,1	,5	,-	,0.5	,86.9,0.4	,-	,6.5,1.6	,1	,0.8	,-	,0.8	,1.4	,0.2	,-	,0.6	,0.2	,0.7	,0.1	,0.4	,0.7	,53.1,0.4	,3.1	,0.1	,€7.00m  
https://www.whoscored.com/Players/362470/Show/Youssouf-Fofana,Youssouf Fofana,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",25,",  DMC  ",31(1),2703,4	,4	,3	,-	,1.6	,82.2,0.5	,3	,7.03,1.9	,1.2	,1.2	,-	,1	,1.1	,0.2	,1	,1.3	,1.2	,1	,-	,1	,1.5	,54.9,0.1	,2	,0.2	,€30.00m  
https://www.whoscored.com/Players/367180/Show/Thierry-Correia,Thierry Correia,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",25,",  D(R),M(R)  ",25(6),2162,-	,2	,4	,1	,0.2	,76.3,0.5	,-	,6.68,2	,1.1	,1.3	,0.3	,1.6	,0.7	,0.5	,-	,0.6	,0.7	,1.3	,0.1	,0.3	,0.7	,32.8,0.5	,1.7	,-	,€6.00m  
https://www.whoscored.com/Players/339671/Show/Aron-D%C3%B8nnum,Aron Dønnum,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",26,",  M(CLR)  ",19(8),1604,-	,1	,8	,-	,0.8	,77.6,0.2	,-	,6.41,0.6	,0.3	,1.1	,-	,0.6	,0.6	,-	,-	,0.9	,1.1	,1.3	,0.1	,0.9	,1.7	,19.7,0.3	,1.2	,0.1	,€3.50m  
https://www.whoscored.com/Players/92812/Show/Kevin-Volland,Kevin Volland,https://www.whoscored.com/Teams/796/Show/Germany-Union-Berlin,"Union Berlin, ",31,",  AM(CLR),FW  ",17(9),1354,3	,4	,1	,2	,1.4	,66.6,0.9	,-	,6.36,0.8	,0.2	,1.1	,-	,0.4	,0.5	,-	,-	,0.8	,0.2	,0.5	,0.3	,0.8	,1.3	,13.8,0.7	,0.6	,-	,€4.00m
https://www.whoscored.com/Players/377583/Show/Hicham-Boudaoui,Hicham Boudaoui,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",24,",  M(CR)  ",17(12),1613,2	,-	,5	,-	,1	,86.5,0.8	,1	,6.61,1.4	,0.4	,0.9	,-	,0.5	,0.3	,-	,-	,0.7	,0.8	,1	,-	,0.4	,1.1	,23.8,0.1	,0.6	,0.1	,€9.00m  
https://www.whoscored.com/Players/381255/Show/Billy-Gilmour,Billy Gilmour,https://www.whoscored.com/Teams/211/Show/England-Brighton,"Brighton, ",23,",  DMC  ",24(6),2126,-	,1	,8	,1	,0.8	,92.2,0.4	,-	,6.39,0.9	,0.4	,0.7	,-	,0.5	,0.8	,0.3	,-	,0.7	,0.3	,1	,-	,0.3	,0.9	,68.8,0.4	,2.1	,0.1	,€18.00m  
https://www.whoscored.com/Players/365127/Show/Chumi,Chumi,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",25,",  D(CR)  ",26(5),2434,-	,1	,4	,-	,0.2	,86.6,1.5	,-	,6.27,1.1	,0.5	,0.7	,0.6	,3.4	,0.3	,0.7	,-	,0.1	,0.2	,0.3	,-	,0.1	,0.5	,37.9,-	,1.4	,-	,€2.00m  
https://www.whoscored.com/Players/70087/Show/Stephan-El-Shaarawy,Stephan El Shaarawy,https://www.whoscored.com/Teams/84/Show/Italy-Roma,"Roma, ",31,",  M(CLR),FW  ",19(14),1740,3	,4	,2	,-	,1.2	,83.7,0.3	,1	,6.57,0.6	,0.4	,0.4	,0.1	,0.4	,0.3	,0.1	,-	,0.6	,0.7	,0.8	,0.2	,0.5	,0.8	,18.3,0.2	,0.6	,-	,€5.00m  
https://www.whoscored.com/Players/344156/Show/Mario-Hermoso,Mario Hermoso,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",29,",  D(CL)  ",29(2),2558,-	,1	,9	,-	,0.5	,87.1,1.5	,1	,6.74,1.5	,1	,1	,0.1	,2.6	,0.7	,0.3	,-	,0.5	,0.4	,0.7	,-	,0.4	,0.7	,57.4,0.3	,4.4	,-	,€25.00m
https://www.whoscored.com/Players/386612/Show/Boubacar-Traor%C3%A9,Boubacar Traoré,https://www.whoscored.com/Teams/161/Show/England-Wolves,"Wolves, ",22,",  M(C)  ",7(17),806,-	,-	,4	,-	,0.5	,84.9,0.3	,-	,6.2,1.5	,0.2	,1	,-	,0.3	,0.5	,0.1	,-	,0.3	,0.4	,0.2	,-	,0.7	,0.5	,18.5,0.1	,0.6	,-	,€6.00m  
